nationalite,studio,timing,title,titre_original,entrees_fr,num_actors,actor_1,actor_2,actor_3,num_director,director_1,director_2,director_3,popularity_actor_1,popularity_actor_2,popularity_actor_3,popularity_director_1,popularity_director_2,continents
 U.S.A., Warner Bros. France ,137,La Voie de la justice,Just Mercy,113153,3,Michael B. Jordan,Jamie Foxx,Brie Larson,3,Destin Daniel Cretton,Andrew Lanham,Destin Daniel Cretton,198.0,587.0,983.0,6.0,534.0,Amérique du Nord
 Allemagne, Kinovista ,121,"Stella, une vie allemande",Stella. Ein Leben.,19222,3,Paula Beer,Jannis Niewöhner,Katja Riemann,3,Kilian Riedhof,Marc Blöbaum,Jan Braren,9.0,588.0,984.0,720.0,535.0,Europe
 Grande-Bretagne, Wild Bunch Distribution ,97,Mes rendez-vous avec Leo,"Good Luck To You, Leo Grande",23381,3,Emma Thompson,Daryl McCormack,Les Mabaleka,2,Sophie Hyde,Katy Brand,,199.0,589.0,985.0,,536.0,Europe
 U.S.A., The Walt Disney Company France ,132,Shang-Chi et la Légende des Dix Anneaux,Shang-Chi and the Legend of the Ten Rings,481173,3,Simu Liu,Tony Leung Chiu-Wai, Awkwafina,3,Destin Daniel Cretton,Dave Callaham,Destin Daniel Cretton,200.0,590.0,986.0,6.0,537.0,Amérique du Nord
 Espagne, Condor Distribution ,106,Les Tournesols sauvages,Girasoles silvestres,12386,3,Anna Castillo,Oriol Pla,Quim Ávila,3,Jaime Rosales,Jaime Rosales,Bárbara Díez,201.0,591.0,987.0,721.0,87.0,Europe
 U.S.A., Universal Pictures International France ,146,Jurassic World: Le Monde d'après,Jurassic World: Dominion,1299065,3,Chris Pratt,Bryce Dallas Howard,Laura Dern,3,Colin Trevorrow,Emily Carmichael,Colin Trevorrow,5.0,592.0,988.0,88.0,538.0,Amérique du Nord
 U.S.A., Metropolitan FilmExport ,120,Greenland - Le dernier refuge,Greenland,193402,3,Gerard Butler,Morena Baccarin,David Denman,2,Ric Roman Waugh,Chris Sparling,,38.0,593.0,111.0,,539.0,Amérique du Nord
 U.S.A., Universal Pictures International France ,163,Mourir peut attendre,No Time To Die,1384858,3,Daniel Craig,Léa Seydoux,Rami Malek,3,Cary Joji Fukunaga,Neal Purvis,Robert Wade,202.0,10.0,989.0,722.0,540.0,Amérique du Nord
 Chili, Dulac Distribution ,100,Les Colons,Los colonos,25953,3,Mark Stanley,Camilo Arancibia,Benjamin Westfall,3,Felipe Gálvez Haberle,Felipe Gálvez Haberle,Antonia Girardi,203.0,594.0,990.0,723.0,89.0,Amérique du Sud
 U.S.A., Sony Pictures Releasing France ,107,Thanksgiving : la semaine de l'horreur,Thanksgiving,75871,3,Patrick Dempsey,Addison Rae,Milo Manheim,2,Eli Roth,Jeff Rendell,,204.0,595.0,991.0,,541.0,Amérique du Nord
 Chine, KMBO ,128,La Guerre des Dieux - New Gods: Yang Jian,Xin shen bang: Yang Jian,8261,2,Maxime Van Santfoort,Kai Wang,,2,Ji Zhao, Muchuan,,205.0,596.0,,,542.0,Asie
 U.S.A., Universal Pictures International France ,92,Les Trolls 3,Trolls Band Together,419824,3, Vitaa,Anna Kendrick,Matt Pokora,4,Tim Heitz,Walt Dohrn,Jonathan Aibel,39.0,87.0,118.0,324.0,309.0,Amérique du Nord
 Belgique, KMBO ,90,Les Inséparables,The Inseparables,62664,3,Eric Judor,Jean-Pascal Zadi,Ana Girardot,3,Jérémie Degruson,Joel Cohen,Alec Sokolow,206.0,597.0,992.0,724.0,543.0,Europe
 U.S.A., Universal Pictures International France ,143,Fast & Furious 9,F9 The Fast Saga,1301589,3,Vin Diesel,Michelle Rodriguez,Jordana Brewster,3,Justin Lin,Daniel Casey,Justin Lin,29.0,14.0,993.0,18.0,544.0,Amérique du Nord
 Italie, Pyramide Distribution ,147,Les Huit Montagnes,Le Otto Montagne,29347,3,Luca Marinelli,Alessandro Borghi,Filippo Timi,4,Charlotte Vandermeersch,Felix Van Groeningen,Charlotte Vandermeersch,207.0,88.0,994.0,91.0,545.0,Europe
 Japon, Art House ,70,Le Grand magasin,Hokkyoku Hyakkaten no Concierge-san,16851,3,Kawaida Natsumi,Takeo Otsuka,Nobuo Tobita,2,Yoshimi Itazu,Satomi Ohshima,,208.0,598.0,995.0,,310.0,Asie
 Corée du Sud, Bac Films ,138,Decision To Leave,Heojil Kyolshim,103303,3,Tang Wei,Park Hae-il,Jung-hyun Lee,3,Park Chan-Wook,Park Chan-Wook,Seo-kyeong Jeong,209.0,599.0,996.0,725.0,92.0,Asie
 U.S.A., Sony Pictures Releasing France ,103,L'Exorciste du Vatican,The Pope's Exorcist,155555,3,Russell Crowe,Daniel Zovatto,Alex Essoe,3,Julius Avery,Evan Spiliotopoulos,Michael Petroni,40.0,600.0,997.0,726.0,20.0,Amérique du Nord
 Japon, CGR EVENTS ,110,Demon Slayer : Kimetsu no Yaiba - En route pour le village des forgerons,"Kimetsu no Yaiba - Jogen shuketsu, soshite Katanakaji no sato e",109154,3,Toshio Furukawa,Natsuki Hanae,Kana Hanazawa,2,Haruo Sotozaki,Koyoharu Gotouge,,210.0,2.0,998.0,,546.0,Asie
 Japon, Sony Pictures Releasing France ,112,Les Chevaliers du Zodiaque,Knights Of The Zodiac,41841,3, Mackenyu,Famke Janssen,Sean Bean,3,Tomasz Baginski,Kiel Murray,Josh Campbell,211.0,601.0,999.0,727.0,547.0,Asie
 U.S.A., Condor Distribution ,91,La Vie rêvée de Miss Fran,Sometimes I Think About Dying,12683,3,Daisy Ridley,Dave Merheje,Parvesh Cheena,3,Rachel Lambert,Stefanie Abel Horowitz,Kevin Armento,212.0,602.0,1000.0,728.0,548.0,Amérique du Nord
 U.S.A., Warner Bros. France ,130,Shazam! La Rage des Dieux,Shazam! Fury of the Gods,262525,3,Zachary Levi,Asher Angel,Jack Dylan Grazer,3,David F. Sandberg,Henry Gayden,Chris Morgan,213.0,603.0,59.0,729.0,549.0,Amérique du Nord
 Suisse, Arizona Distribution ,99,Petite soeur,Schwesterlein,5741,3,Nina Hoss,Lars Eidinger,Marthe Keller,4,Véronique Reymond,Stéphanie Chuat,Stéphanie Chuat,41.0,604.0,1001.0,311.0,311.0,Europe
 Grande-Bretagne, Les Films du Préau ,38,Les Tourouges et les Toubleus,The Smeds and the Smoos,13562,3,Maia Baran,Sally Hawkins,Marie Braam,3,Samantha Cutler,Daniel Snaddon,Vasilisa Tikunova,214.0,605.0,69.0,730.0,550.0,Europe
 Japon, Art House ,127,La Famille Asada,Asada-ke!,51420,3,Kazunari Ninomiya,Haru Kuroki,Satoshi Tsumabuki,2,Ryôta Nakano,Ryôta Nakano,,215.0,606.0,18.0,,93.0,Asie
 U.S.A., The Walt Disney Company France ,103,Une équipe de rêve,Next Goal Wins,17490,3,Michael Fassbender,Oscar Kightley, Kaimana,3,Taika Waititi,Iain Morris,Taika Waititi,216.0,607.0,1002.0,94.0,551.0,Amérique du Nord
 U.S.A., Sony Pictures Releasing France ,127,Le Pire voisin au monde,A Man Called Otto,67470,3,Tom Hanks,Mariana Treviño,Rachel Keller,2,Marc Forster,David Magee,,217.0,608.0,1003.0,,308.0,Amérique du Nord
 Canada, Metropolitan FilmExport ,108,Les Crimes du Futur,Crimes Of The Future,52886,3,Viggo Mortensen,Léa Seydoux,Kristen Stewart,2,David Cronenberg,David Cronenberg,,218.0,10.0,1004.0,,95.0,Amérique du Nord
 U.S.A., Universal Pictures International France ,88,Les Minions 2 : Il était une fois Gru,Minions: The Rise of Gru,1360765,3,Gad Elmaleh,Steve Carell,Gérard Darmon,4,Kyle Balda,Brad Ableson,Jonathan Del Val,219.0,609.0,1005.0,731.0,552.0,Amérique du Nord
 U.S.A., Metropolitan FilmExport ,108,Mayday,Plane,160006,3,Gerard Butler,Mike Colter,Yoson An,3,Jean-François Richet,Charles Cumming,J.P. Davis,38.0,610.0,1006.0,732.0,553.0,Amérique du Nord
 Indonésie, Destiny Films ,115,Le Pion du Général,Autobiography,814,3,Kevin Ardilova,Arswendy Bening Swara,Yusyf Mahardika,2,Makbul Mubarak,Makbul Mubarak,,220.0,611.0,1007.0,,96.0,Asie
 Irlande, ASC Distribution ,96,The Quiet Girl,An Cailín Ciúin,31800,3,Carrie Crowley,Andrew Bennett,Catherine Clinch,2,Colm Bairéad,Colm Bairéad,,221.0,612.0,1008.0,,97.0,Europe
 U.S.A., Warner Bros. France ,142,Les Animaux Fantastiques : les Secrets de Dumbledore,Fantastic Beasts: The Secrets Of Dumbledore,1132062,3,Eddie Redmayne,Jude Law,Mads Mikkelsen,3,David Yates,J.K. Rowling,Steve Kloves,222.0,613.0,113.0,733.0,554.0,Amérique du Nord
 Allemagne, Condor Distribution ,108,La Conférence,Die Wannseekonferenz,33680,3,Philipp Hochmair,Johannes Allmayer,Maximilian Brückner,3,Matti Geschonneck,Magnus Vattrodt,Paul Mommertz,223.0,614.0,1009.0,734.0,555.0,Europe
 U.S.A., Warner Bros. France ,145,La Méthode Williams,King Richard,90468,3,Will Smith,Aunjanue Ellis,Saniyya Sidney,2,Reinaldo Marcus Green,Zach Baylin,,224.0,615.0,1010.0,,312.0,Amérique du Nord
 Grande-Bretagne, Universal Pictures International France ,126,Downton Abbey II : Une nouvelle ère,Downton Abbey: A New Era,181353,3,Hugh Bonneville,Michelle Dockery,Elizabeth McGovern,2,Simon Curtis,Julian Fellowes,,225.0,616.0,1011.0,,556.0,Europe
 France, Le Pacte ,167,Onoda - 10 000 nuits dans la jungle,Onoda,14592,3,Yûya Endô,Kanji Tsuda,Yuya Matsuura,3,Arthur Harari,Arthur Harari,Vincent Poymiro,226.0,617.0,1012.0,735.0,98.0,Europe
 Ukraine, KMBO ,99,Le Royaume de Naya,Mavka. Lisova pisnya,163496,3,Nataliya Denisenko,Artem Pivovarov,Elena Kravets,3,Oleh Malamuzh,Oleksandra Ruban,Yaroslav Voytseshek,227.0,618.0,1013.0,736.0,557.0,Europe
 U.S.A., KMBO ,99,Inside,It Lives Inside,43573,3,Megan Suri,Neeru Bajwa,Mohana Krishnan,2,Bishal Dutta,Bishal Dutta,,42.0,619.0,1014.0,,99.0,Amérique du Nord
 U.S.A., The Walt Disney Company France ,121,Ant-Man et la Guêpe : Quantumania,Ant-Man and The Wasp: Quantumania,735356,3,Paul Rudd,Evangeline Lilly,Michael Douglas,2,Peyton Reed,Jeff Loveness,,228.0,620.0,1015.0,,558.0,Amérique du Nord
 U.S.A., Warner Bros. France ,112,Conjuring 3 : sous l'emprise du diable,The Conjuring: The Devil Made Me Do It,665476,3,Patrick Wilson,Vera Farmiga,Ruairi O'Connor,2,Michael Chaves,David Leslie Johnson-McGoldrick,,43.0,89.0,1016.0,,21.0,Amérique du Nord
 U.S.A., Paramount Pictures France ,97,Sans un bruit 2,A Quiet Place Part II,228844,3,Emily Blunt,John Krasinski,Cillian Murphy,2,John Krasinski,John Krasinski,,229.0,621.0,1017.0,,100.0,Amérique du Nord
 Japon, Diaphana Distribution ,177,Drive My Car,Doraibu mai kâ,48971,3,Hidetoshi Nishijima,Toko Miura,Masaki Okada,3,Ryūsuke Hamaguchi,Ryūsuke Hamaguchi,Takamasa Oe,230.0,622.0,1018.0,737.0,2.0,Asie
 Suède, Memento Distribution ,121,La Conspiration du Caire,Boy from Heaven,153906,3,Tawfeek Barhom,Fares Fares,Mohammad Bakri,2,Tarik Saleh,Tarik Saleh,,231.0,623.0,1019.0,,101.0,Europe
 Irlande, Haut et Court ,103,Le Peuple Loup,Wolfwalkers,42627,3,Lévanah Solomon,Honor Kneafsey,Lana Ropion,3,Tomm Moore,Ross Stewart,Will Collins,33.0,624.0,1020.0,738.0,559.0,Europe
 Chine, ARP Sélection ,133,Le Retour des hirondelles,Yin Ru Chen Yan,24402,2,Wu Renlin, Hai-Qing,,2,Li Ruijun,Li Ruijun,,232.0,625.0,,,102.0,Asie
 Norvège, Kinovista / Les Bookmakers ,117,The Innocents,De uskyldige,11449,3,Rakel Lenora Fløttum,Alva Brynsmo Ramstad,Mina Yasmin Bremseth Asheim,2,Eskil Vogt,Eskil Vogt,,233.0,626.0,1021.0,,19.0,Europe
 U.S.A., Warner Bros. France ,129,Le Cas Richard Jewell,Richard Jewell,385394,3,Paul Walter Hauser,Sam Rockwell,Kathy Bates,2,Clint Eastwood,Billy Ray,,234.0,7.0,117.0,,560.0,Amérique du Nord
 U.S.A., The Walt Disney Company France ,99,Le Croque-mitaine,The Boogeyman,101134,3,Chris Messina,Sophie Thatcher,Vivien Lyra Blair,3,Rob Savage,Mark Heyman,Scott Beck,235.0,627.0,1022.0,17.0,561.0,Amérique du Nord
 Italie, Shellac ,99,La Légende du roi crabe,Re Granchio,4325,3,Gabriele Silli,Maria Alexandra Lungu,Severino Sperandio,4,Alessio Rigo de Righi,Matteo Zoppis,Alessio Rigo de Righi,236.0,628.0,1023.0,103.0,562.0,Europe
 Chine, Eurozoom ,73,La Course au miel,Hug Me - The Movie,3339,0,,,,3,Anna Blaszczyk,Emilia Nedzi,Aleksandra Swierk,,,,739.0,563.0,Asie
 Turquie, Memento Distribution ,131,Burning Days,Kurak Günler,45633,3,Selahattin Paşalı,Ekin Koç,Erol Babaoğlu,2,Emin Alper,Emin Alper,,237.0,90.0,1024.0,,104.0,Asie
 U.S.A., The Walt Disney Company France ,105,Buzz l'éclair,Lightyear,482715,3,François Civil,Chris Evans,Lyna Khoudri,3,Angus MacLane,Angus MacLane,Jason Headley,238.0,629.0,1025.0,740.0,105.0,Amérique du Nord
 France, Nour Films ,178,L'Arbre aux papillons d'or,Bên trong vỏ kén vàng,20088,3,Le Phong Vu,Nguyen Thi Truc Quynh,Nguyen Thinh,2,Pham Thiên Ân,Pham Thiên Ân,,239.0,630.0,1026.0,,106.0,Europe
 Russie, Kinovista ,125,Le Capitaine Volkonogov s'est échappé,Kapitan Volkonogov bezhal,12018,3,Yuriy Borisov,Timofey Tribuntsev,Nikita Kukushkin,4,Natalya Merkulova,Aleksey Chupov,Natalya Merkulova,44.0,631.0,1027.0,107.0,564.0,Europe
 kazakhstan, Destiny Films ,90,Assaut,Assault,1204,3,Nurbek Mukushev,Azamat Nigmanov,Aleksandra Revenko,2,Adilkhan Yerzhanov,Adilkhan Yerzhanov,,240.0,632.0,1028.0,,7.0,Asie
 U.S.A., Metropolitan FilmExport ,89,La Maison du mal,Cobweb,96861,3,Lizzy Caplan,Antony Starr,Cleopatra Coleman,2,Samuel Bodin,Chris Thomas Devlin,,241.0,633.0,1029.0,,565.0,Amérique du Nord
 Soudan, ARP Sélection ,120,Goodbye Julia,Wadaean Julia,11314,3,Ger Duany,Siran Riak,Nazar Goma,2,Mohamed Kordofani,Mohamed Kordofani,,242.0,634.0,1030.0,,108.0,Afrique
 Norvège, Memento Distribution ,128,Julie (en 12 chapitres),Verdens verste menneske,67515,3,Renate Reinsve,Anders Danielsen Lie,Herbert Nordrum,3,Joachim Trier,Joachim Trier,Eskil Vogt,243.0,635.0,1031.0,19.0,109.0,Europe
 U.S.A., Metropolitan FilmExport ,108,Un talent en or massif,The Unbearable Weight Of Massive Talent,57763,3,Nicolas Cage,Pedro Pascal,Alessandra Mastronardi,3,Tom Gormican,Tom Gormican,Kevin Etten,45.0,636.0,1032.0,741.0,110.0,Amérique du Nord
 U.S.A., Paramount Pictures France ,86,La Pat’ Patrouille - Le film,Paw Patrol: The Movie,459566,3,Iain Armitage, Valentina,Marsai Martin,3,Cal Brunker,Cal Brunker,Bob Barlen,244.0,637.0,100.0,22.0,4.0,Amérique du Nord
 U.S.A., L'Atelier Distribution ,90,Marcel le Coquillage (avec ses chaussures),Marcel The Shell With Shoes On,7514,3,Jenny Slate,Dean Fleischer-Camp,Isabella Rossellini,3,Dean Fleischer-Camp,Dean Fleischer-Camp,Nick Paley,245.0,638.0,116.0,742.0,111.0,Amérique du Nord
 Grande-Bretagne, Condor Distribution ,104,Entre les lignes,Mothering Sunday,21941,3,Odessa Young,Josh O'Connor,Colin Firth,2,Eva Husson,Alice Birch,,246.0,8.0,52.0,,566.0,Europe
 Argentine, Capricci Films ,129,Trenque Lauquen - Partie 1,Trenque Lauquen parte I,3847,3,Laura Paredes,Juliana Muras,Ezequiel Pierri,3,Laura Citarella,Laura Citarella,Laura Paredes,46.0,91.0,119.0,325.0,8.0,Amérique du Sud
 Corée du Sud, Arizona Distribution ,137,About Kim Sohee,Da-eum-so-hee,29840,3,Doona Bae,Kim Si-eun, Choi Hee-jin,2,July Jung,July Jung,,47.0,639.0,1033.0,,112.0,Asie
 Géorgie, Capricci Films ,115,"Blackbird, Blackberry",Blackbird Blackbird Blackberry,3316,3,Eka Chavleishvili,Temiko Chinchinadze,Lia Abuladze,3,Elene Naveriani,Elene Naveriani,Nikoloz Mdivani,247.0,640.0,1034.0,743.0,113.0,Europe
 France, SND ,93,Vaillante,Fireheart,302,3,Alice Pol,Alice Pol,Vincent Cassel,4,Laurent Zeitoun,Theodore Ty,Laurent Zeitoun,48.0,48.0,1035.0,114.0,567.0,Europe
 Grande-Bretagne, SND ,112,Un espion ordinaire,The Courier,103555,3,Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan,2,Dominic Cooke,Tom O'Connor (II),,248.0,641.0,1036.0,,568.0,Europe
 U.S.A., Warner Bros. France ,109,Birds of Prey et la fantabuleuse histoire de Harley Quinn,Harley Quinn: Birds of Prey,412178,3,Margot Robbie,Mary Elizabeth Winstead,Jurnee Smollett,2,Cathy Yan,Christina Hodson,,249.0,642.0,1037.0,,569.0,Amérique du Nord
 Japon, Wild Bunch Distribution ,122,Belle,Ryu to Sobakasu no Hime,54238,3,Louane Emera,Kaho Nakamura,Antonin Icovic,2,Mamoru Hosoda,Mamoru Hosoda,,250.0,643.0,1038.0,,115.0,Asie
 Allemagne, Metropolitan FilmExport ,107,Resident Evil : Bienvenue à Raccoon City,Resident Evil: Welcome to Raccoon City,110288,3,Kaya Scodelario,Hannah John-Kamen,Robbie Amell,2,Johannes Roberts,Johannes Roberts,,251.0,644.0,1039.0,,116.0,Europe
 France, Metropolitan FilmExport ,119,Les Nuits de Mashhad,Holy Spider,30009,3,Mehdi Bajestani,Zar Amir Ebrahimi,Arash Ashtiani,2,Ali Abbasi,Ali Abbasi,,252.0,645.0,1040.0,,117.0,Europe
 Japon, CGR EVENTS ,117,Demon Slayer - Kimetsu no Yaiba - Le film : Le train de l'infini,Kimetsu no Yaiba: Mugen Ressha-Hen,168930,3,Enzo Ratsito,Natsuki Hanae,Akari Kito,1,Haruo Sotozaki,,,253.0,2.0,109.0,,,Asie
 Argentine, Epicentre Films ,94,Pornomelancolia,Pornomelancolía,3611,3,Lalo Santos, Diablo,Brandon Ley,3,Manuel Abramovich,Manuel Abramovich,Fernando Krapp,254.0,646.0,1041.0,744.0,118.0,Amérique du Sud
 Bhoutan, ARP Sélection ,109,L'école du bout du monde,Lunana: A Yak in the Classroom,15192,3,Sherab Dorji,Ugyen Norbu Lhendup,Kelden Lhamo Gurung,2,Pawo Choyning Dorji,Pawo Choyning Dorji,,255.0,647.0,1042.0,,119.0,Asie
 Italie, Paname Distribution ,132,Le Colibri,Il colibrì,31238,3,Pierfrancesco Favino,Kasia Smutniak,Bérénice Bejo,3,Francesca Archibugi,Francesca Archibugi,Laura Paolucci,1.0,648.0,1043.0,745.0,120.0,Europe
 U.S.A., Universal Pictures International France ,95,Crazy Bear,Cocaine Bear,75915,3,Keri Russell,O'Shea Jackson Jr.,Christian Convery,2,Elizabeth Banks,Jimmy Warden,,49.0,649.0,1044.0,,570.0,Amérique du Nord
 Russie, Bac Films ,143,La Femme de Tchaïkovski,Zhena Chaikovskogo,79463,3,Odin Lund Biron,Alyona Mikhailova,Filipp Avdeyev,2,Kirill Serebrennikov,Kirill Serebrennikov,,256.0,650.0,1045.0,,9.0,Europe
 Espagne, Arizona Distribution ,85,Les Filles vont bien,Las chicas están bien,2991,3,Bárbara Lennie,Irene Escolar,Itziar Manero,2,Itsaso Arana,Itsaso Arana,,257.0,92.0,1046.0,,121.0,Europe
 Iran, Pyramide Distribution ,93,Hit The Road,Jaddeh Khaki,25480,3,Hassan Madjooni,Pantea Panahiha,Rayan Sarlak,2,Panah Panahi,Panah Panahi,,258.0,651.0,1047.0,,122.0,Asie
 U.S.A., Sony Pictures Releasing France ,106,Le Bal de l'Enfer,The Invitation,70137,3,Nathalie Emmanuel,Thomas Doherty,Alana Boden,3,Jessica M. Thompson,Blair Butler,Jessica M. Thompson,259.0,652.0,1048.0,123.0,571.0,Amérique du Nord
 Lituanie, Condor Distribution ,114,Vesper Chronicles,Vesper,76366,3,Raffiella Chapman,Eddie Marsan,Rosy McEwen,4,Kristina Buozyte,Bruno Samper,Kristina Buozyte,260.0,653.0,1049.0,124.0,572.0,Europe
 Grande-Bretagne, Metropolitan FilmExport ,103,Vivre,Living,37725,3,Bill Nighy,Aimee Lou Wood,Alex Sharp (II),2,Oliver Hermanus,Kazuo Ishiguro,,50.0,654.0,1050.0,,573.0,Europe
 Italie, Le Pacte ,119,Caravage,L'Ombra di Caravaggio,95358,3,Riccardo Scamarcio,Louis Garrel,Isabelle Huppert,3,Michele Placido,Michele Placido,Sandro Petraglia,261.0,93.0,85.0,746.0,125.0,Europe
 Iran, Wild Bunch Distribution ,159,Leila et ses frères,Leila's Brothers,41242,3,Taraneh Alidoosti,Navid Mohammadzadeh,Payman Maadi,2,Saeed Roustaee,Saeed Roustaee,,51.0,94.0,1051.0,,126.0,Asie
 Allemagne, Haut et Court ,105,I’m Your Man,Ich bin dein Mensch,16932,3,Maren Eggert,Dan Stevens,Sandra Hüller,3,Maria Schrader,Maria Schrader,Jan Schomburg,262.0,655.0,4.0,747.0,127.0,Europe
 U.S.A., Tandem ,104,Sabotage,How To Blow Up A Pipeline,12617,3,Ariela Barer,Kristine Frøseth,Lukas Gage,3,Daniel Goldhaber,Daniel Goldhaber,Ariela Barer,263.0,656.0,1052.0,748.0,128.0,Amérique du Nord
 Japon, CGR EVENTS ,105,Jujutsu Kaisen 0,Gekijouban Jujutsu Kaisen 0,347583,3,Alexandre N'Guyen,Megumi Ogata,Alice Orsat,2,Sung-ho Park,Hiroshi Seko,,34.0,657.0,1053.0,,574.0,Asie
 U.S.A., Sony Pictures Releasing France ,105,"Love Again : un peu, beaucoup, passionnément",Love Again,36242,3,Priyanka Chopra Jonas,Sam Heughan,Céline Dion,2,Jim Strouse,Jim Strouse,,264.0,658.0,1054.0,,129.0,Amérique du Nord
 Italie, Pathé ,99,L'Immensita,L'immensità,91906,3,Penélope Cruz,Vincenzo Amato,Luana Giuliani,3,Emanuele Crialese,Emanuele Crialese,Francesca Manieri,3.0,659.0,1055.0,749.0,130.0,Europe
 Suisse, Shellac ,93,Désordres,Unrueh,3609,3,Clara Gostynski,Alexei Evstratov,Monika Stalder,2,Cyril Schäublin,Cyril Schäublin,,265.0,660.0,1056.0,,131.0,Europe
 Danemark, Jour2fête ,143,Godland,Vanskabte Land - Volaða Land,35205,3,Elliott Crosset Hove,Ingvar Eggert Sigurôsson,Victoria Carmen Sonne,2,Hlynur Pálmason,Hlynur Pálmason,,266.0,661.0,1057.0,,132.0,Europe
 Grande-Bretagne, Warner Bros. France ,127,La Ruse,Operation Mincemeat,127930,3,Colin Firth,Matthew Macfadyen,Kelly Macdonald,2,John Madden,Michelle Ashford,,52.0,662.0,1058.0,,575.0,Europe
 U.S.A., The Walt Disney Company France ,93,Les Nouveaux mutants,The New Mutants,160373,3,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,3,Josh Boone,Josh Boone,Knate Lee,267.0,83.0,1059.0,750.0,133.0,Amérique du Nord
 U.S.A., SND ,90,Enragé,Unhinged,144754,3,Russell Crowe,Caren Pistorius,Gabriel Bateman,2,Derrick Borte,Carl Ellsworth,,40.0,663.0,1060.0,,576.0,Amérique du Nord
 Espagne, Damned Distribution ,95,En bonne compagnie,Las buenas compañías,911,3,Alícia Falcó,Elena Tarrats,Itziar Ituño,3,Silvia Munt,Silvia Munt,Jorge Gil Munárriz,268.0,664.0,1061.0,751.0,134.0,Europe
 Espagne, Condor Distribution ,103,À contretemps,En los márgenes,28720,3,Penélope Cruz,Luis Tosar,Christian Checa,3,Juan Diego Botto,Juan Diego Botto,Olga Rodríguez,3.0,95.0,1062.0,752.0,135.0,Europe
 Grande-Bretagne, UFO Distribution ,95,The Chef,Boiling Point,24140,3,Stephen Graham,Vinette Robinson,Alice May Feetham,3,Philip Barantini,Philip Barantini,James Cummings,269.0,665.0,1063.0,753.0,136.0,Europe
 Corée du Sud, Metropolitan FilmExport ,129,Les Bonnes étoiles,Beulokeo,64763,3,Song Kang-Ho,Dong-won Gang,Doona Bae,2,Hirokazu Kore-eda,Hirokazu Kore-eda,,270.0,666.0,47.0,,16.0,Asie
 Chine, Nour Films ,97,Un hiver à Yanji,Ran dong,12843,3,Zhou Dongyu,Liu Haoran,Chuxiao Qu,2,Anthony Chen,Anthony Chen,,271.0,667.0,1064.0,,137.0,Asie
 U.S.A., Universal Pictures International France ,100,Les Bad Guys,The Bad Guys,259472,3,Pierre Niney,Sam Rockwell,Igor Gotesman,3,Pierre Perifel,Etan Cohen,Hilary Winston,272.0,7.0,1065.0,754.0,577.0,Amérique du Nord
 Espagne, Warner Bros. France ,89,Sacrées momies,Moomios,168937,3,Lou Jean,Ana Esther Alborg,Roser Aldabó Arnau,3,Juan Jesús García Galocha,Jordi Gasull,Javier López Barreira,273.0,668.0,1066.0,755.0,578.0,Europe
 U.S.A., Paramount Pictures France ,122,Sonic 2 le film,Sonic The Hedgehog 2,749372,3,Jim Carrey,Emmanuel Curtil,James Marsden,3,Jeff Fowler,Patrick Casey,Josh Miller (LVIII),274.0,669.0,98.0,756.0,579.0,Amérique du Nord
 U.S.A., Universal Pictures International France ,115,L'Un des nôtres,Let Him Go,10884,3,Kevin Costner,Diane Lane,Lesley Manville,2,Thomas Bezucha,Thomas Bezucha,,275.0,670.0,31.0,,138.0,Amérique du Nord
 Brésil, Wayna Pitch ,100,Règle 34,Rule 34,513,3,Sol Miranda (II),Lucas Andrade,Lorena Comparato,3,Júlia Murat,Gabriela Capello,Rafael Lessa,276.0,671.0,1067.0,757.0,580.0,Amérique du Sud
 Italie, Le Pacte ,100,Storia di vacanze,Favolacce,2986,3,Elio Germano,Barbara Chichiarelli,Lino Musella,4,Fabio D'Innocenzo,Damiano D'Innocenzo,Damiano D'Innocenzo,277.0,672.0,1068.0,313.0,313.0,Europe
 U.S.A., Sony Pictures Releasing France ,146,Whitney Houston : I Wanna Dance With Somebody,Whitney Houston: I Wanna Dance With Somebody,64834,3,Naomi Ackie,Stanley Tucci,Tamara Tunie,2,Kasi Lemmons,Anthony McCarten,,278.0,673.0,1069.0,,581.0,Amérique du Nord
 Finlande, Haut et Court ,102,Compartiment N°6,Hytti nro 6,42636,3,Seidi Haarla,Yuriy Borisov,Dinara Drukarova,3,Juho Kuosmanen,Juho Kuosmanen,Andris Feldmanis,279.0,44.0,1070.0,758.0,139.0,Europe
 U.S.A., Sony Pictures Releasing France ,107,Enzo le Croco,"Lyle, Lyle, Crocodile",132431,3,Doryan Ben,Shawn Mendes,Javier Bardem,3,Will Speck,Josh Gordon,Will Davies,280.0,674.0,1071.0,759.0,582.0,Amérique du Nord
 Allemagne, Kinovista ,132,Sissi & moi,Sisi & Ich,2858,3,Susanne Wolff,Sandra Hüller,Georg Friedrich,3,Frauke Finsterwalder,Frauke Finsterwalder,Christian Kracht,281.0,4.0,102.0,760.0,140.0,Europe
 U.S.A., Metropolitan FilmExport ,99,Esther 2 : Les Origines,Orphan: First Kill,140678,3,Isabelle Fuhrman,Julia Stiles,Rossif Sutherland,3,William Brent Bell,David Coggeshall,David Leslie Johnson-McGoldrick,282.0,675.0,1072.0,21.0,583.0,Amérique du Nord
