nationalite,studio,timing,title,titre_original,entrees_fr,num_actors,actor_1,actor_2,actor_3,num_director,director_1,director_2,director_3,popularity_actor_1,popularity_actor_2,popularity_actor_3,popularity_director_1,popularity_director_2,continents
 Espagne, Jour2fête ,128,20 000 espèces d'abeilles,20.000 especies de abejas,15669,3,Sofía Otero,Patricia López Arnaiz,Ane Gabarain,2,Estibaliz Urresola Solaguren,Estibaliz Urresola Solaguren,,143.0,522.0,916.0,,38.0,Europe
 Pologne, Condor Distribution ,152,Green Border,Zielona granica,18130,3,Jalal Altawil,Maja Ostaszewska,Behi Djanati Ataï,3,Agnieszka Holland,Agnieszka Holland,Maciej Pisuk,144.0,523.0,917.0,686.0,15.0,Europe
 U.S.A., ARP Sélection ,106,Past Lives – Nos vies d’avant,Past Lives,40381,3,Greta Lee,Yoo Teo,John Magaro,2,Celine Song,Celine Song,,145.0,524.0,918.0,,39.0,Amérique du Nord
 U.S.A., Universal Pictures International France ,134,Winter Break,The Holdovers,57639,3,Paul Giamatti,Da’vine Joy Randolph,Dominic Sessa,2,Alexander Payne,David Hemingson,,146.0,525.0,919.0,,497.0,Amérique du Nord
 Grande-Bretagne, Metropolitan FilmExport ,133,Iron Claw,The Iron Claw,46627,3,Zac Efron,Harris Dickinson,Jeremy Allen White,2,Sean Durkin,Sean Durkin,,20.0,6.0,920.0,,40.0,Europe
 Allemagne, UFO Distribution ,118,Universal Theory,Die Theorie von Allem,9404,3,Jan Bülow,Olivia Ross,Hanns Zischler,3,Timm Kröger,Timm Kröger,Roderick Warich,147.0,526.0,921.0,687.0,41.0,Europe
 Italie, Pathé ,122,Moi capitaine,Io Capitano,65137,3,Seydou Sarr,Moustapha Fall,Issaka Sawadogo,3,Matteo Garrone,Matteo Garrone,Massimo Gaudioso,148.0,527.0,922.0,688.0,42.0,Europe
 Italie, Ad Vitam ,135,L'Enlèvement,Rapito,85243,3,Enea Sala,Leonardo Maltese,Paolo Pierobon,3,Marco Bellocchio,Marco Bellocchio,Susanna Nicchiarelli,149.0,528.0,923.0,689.0,43.0,Europe
 Grande-Bretagne, Sony Pictures Releasing France ,158,Napoléon,Napoleon,764419,3,Joaquin Phoenix,Vanessa Kirby,Tahar Rahim,2,Ridley Scott,David Scarpa,,21.0,529.0,35.0,,498.0,Europe
 Grande-Bretagne, Cinéma Public Films ,38,Les Toutes Petites Créatures,The Very Small Creatures,10004,0,,,,2,Lucy Izzard,Lucy Izzard,,,,,,45.0,Europe
 Japon, Wild Bunch Distribution ,123,Le Garçon et le Héron,Kimi-tachi wa Dō Ikiru ka,702835,3,Gavril Dartevelle,Soma Santoki,Padrig Vion,2,Hayao Miyazaki,Hayao Miyazaki,,150.0,530.0,924.0,,46.0,Asie
 U.S.A., Sony Pictures Releasing France ,134,Gran Turismo,Gran Turismo: Based On a True Story,382349,3,David Harbour,Orlando Bloom,Archie Madekwe,3,Neill Blomkamp,Neill Blomkamp,Zach Baylin,151.0,531.0,925.0,312.0,47.0,Amérique du Nord
 Corée du Sud, Capricci Films ,97,Walk Up,Tab,4421,3,Hae-hyo Kwon,Hye-Young Lee,Song Seon-mi,2,Hong Sang-Soo,Hong Sang-Soo,,22.0,62.0,926.0,,1.0,Asie
 Finlande, Diaphana Distribution ,81,Les Feuilles mortes,Kuolleet lehdet,111219,3,Alma Pöysti,Jussi Vatanen,Janne Hyytiäinen,2,Aki Kaurismäki,Aki Kaurismäki,,23.0,532.0,927.0,,48.0,Europe
 Japon, Wayna Pitch ,113,Satoshi,A Mother's Touch,236,3,Taketo Tanaka, Koyuki,Lily Franky,3,Jumpei Matsumoto,Jumpei Matsumoto,Yuki Takafumi,152.0,533.0,928.0,690.0,49.0,Asie
 Danemark, Gebeka Films ,75,"Rose, petite fée des fleurs",Roselil og stentrolden,10886,3,Ghita Norby,Bodil Jorgensen,Rasmus Botoft,2,Karla Nor Holmbäck,Toke Westmark Steensen,,153.0,534.0,929.0,,499.0,Europe
 Grèce, L'Atelier Distribution ,105,À l'intérieur,Inside,2654,3,Willem Dafoe,Gene Bervoets,Eliza Stuyck,2,Vasilis Katsoupis,Ben Hopkins,,24.0,535.0,930.0,,500.0,Europe
 Japon, Le Pacte ,127,L'Innocence,Kaibutsu,63240,3,Sakura Andô,Eita Nagayama,Soya Kurokawa,2,Hirokazu Kore-eda,Yuji Sakamoto,,25.0,536.0,931.0,,501.0,Asie
 Turquie, Memento Distribution ,198,Les Herbes sèches,Kuru Otlar Üstüne,32179,3,Merve Dizdar,Ece Bağcı,Musab Ekici,3,Nuri Bilge Ceylan,Ebru Ceylan,Nuri Bilge Ceylan,154.0,537.0,932.0,50.0,502.0,Asie
 Chine, Bodega Films ,92,Blue Summer (A Song Sung Blue),Xiao Bai Chuan,726,3,Zhou Meijun,Ziqi Huang,Jing Liang,3,Zihan Geng,Zihan Geng,Yining Liu,155.0,538.0,933.0,691.0,51.0,Asie
 U.S.A., Warner Bros. France ,141,La Couleur Pourpre,The Color Purple,49322,3,Fantasia Barrino,Taraji P. Henson,Danielle Brooks,2,Blitz Bazawule,Marcus Gardley,,156.0,539.0,934.0,,503.0,Amérique du Nord
 U.S.A., Warner Bros. France ,124,Aquaman et le Royaume perdu,Aquaman and the Lost Kingdom,552105,3,Jason Momoa,Patrick Wilson,Amber Heard,2,James Wan,David Leslie Johnson-McGoldrick,,26.0,43.0,935.0,,21.0,Amérique du Nord
 U.S.A., Kinovista ,105,X - Le film,X,31224,3,Mia Goth,Jenna Ortega,Martin Henderson,2,Ti West,Ti West,,157.0,540.0,936.0,,52.0,Amérique du Nord
 U.S.A., Sony Pictures Releasing France ,110,Equalizer 3,The Equalizer 3,378764,3,Denzel Washington,Dakota Fanning,David Denman,2,Antoine Fuqua,Richard Wenk,,158.0,541.0,111.0,,504.0,Amérique du Nord
 U.S.A., The Walt Disney Company France ,102,Élémentaire,Elemental,426818,3,Adèle Exarchopoulos,Leah Lewis,Vincent Lacoste,3,Peter Sohn,John Hoberg,Kat Likkel,159.0,542.0,937.0,692.0,505.0,Amérique du Nord
