,titre,budget,duree,entrees_fr,franchise,genres,pegi_fr,pegi_usa,entrees_usa,salles_fr,studio,estimation,is_compositeur,annee,origine
581,d'une vie à l'autre,12000000,100,31755,0,drame, Tous publics ,R,4319745.0,89,metropolitan,,0,1999,etats-unis
582,da vinci code,125000000,149,1707373,1,thriller, Tous publics ,R,77073388.0,885,gaumont sony,,1,2006,etats-unis
583,dalida,15743270,124,346642,0,drame, Tous publics ,,,560,pathé,,0,2017,france
584,dallas buyers club,5500000,117,106158,0,drame, Tous publics ,R,2687157.0,121,ugc distribution,,0,2014,etats-unis
585,dalton trumbo,15000000,124,57651,0,drame, Tous publics ,R,1613397.0,92,ugc distribution,,0,2016,etats-unis
586,danger immédiat,45000000,136,351869,1,aventure - action,,PG,20348017.0,311,uip,,1,1994,etats-unis
587,danny the dog,33945816,103,350054,0,aventure - action, Moins de 12 ans ,R,10900901.0,480,europacorp,,0,2005,france
588,dans l'ombre de mary,35000000,120,137770,0,comédie dramatique, Tous publics ,PG,9344381.0,272,walt disney pictures,,1,2014,etats-unis
589,dans la brume,11270000,89,123997,0,science fiction,,,,214,mars distribution,,0,2018,france
590,dans la cour,6930000,97,143569,0,comédie dramatique, Tous publics ,,,211,wild bunch,,0,2014,france
591,dans la ligne de mire,39000000,130,269966,0,thriller,,R,15269388.0,240,columbia,,1,1993,etats-unis
592,dans la maison,9213105,105,403162,0,thriller, Tous publics ,,31441.0,278,mars distribution,,0,2012,france
593,dans la peau de john malkovich,13000000,112,124550,0,comédie, Tous publics ,R,1852093.0,94,universal,,0,1999,etats-unis
594,daredevil,78000000,102,534365,0,comicbook,,PG,40310419.0,579,ufd,,0,2003,etats-unis
595,dark blue,15000000,116,92821,0,thriller, Tous publics ,R,3880688.0,141,metropolitan,,0,2003,etats-unis
596,dark city,27000000,95,150844,0,fantasy,,R,5576953.0,162,metropolitan,,0,1998,etats-unis
597,dark shadows,150000000,112,676890,0,fantasy, Tous publics ,PG,29685274.0,474,warner bros.,,1,2012,etats-unis
598,dark water,60000000,105,147141,0,horreur, Moins de 12 ans ,PG,9939251.0,295,walt disney pictures,,0,2005,etats-unis
599,date limite,65000000,95,418659,0,comédie, Tous publics ,R,32689406.0,385,warner bros.,,0,2010,etats-unis
600,daybreakers,20000000,98,117073,0,horreur, Tous publics ,R,15146692.0,229,metropolitan,,0,2010,etats-unis
601,daylight,80000000,114,389115,0,catastrophe, Tous publics ,PG,10015875.0,488,uip,,0,1996,etats-unis
602,de gaulle,10783053,108,511913,0,drame,,,,619,snd,,0,2020,france
603,de battre mon cœur s'est arrêté,5300000,107,288919,0,drame, Tous publics ,,65365.0,210,ugc distribution,,1,2005,france
604,de l'autre côté du lit,9354376,93,517597,0,comédie, Tous publics ,,,578,mars distribution,,0,2009,france
605,de l'eau pour les éléphants,38000000,115,289166,0,drame, Tous publics ,PG,16842353.0,438,20th century fox,,1,2011,etats-unis
606,de l'ombre à la lumière,88000000,144,167074,0,drame,,PG,18320205.0,404,walt disney pictures,,1,2005,etats-unis
607,de l’autre côté du périph,8430186,95,558144,0,comédie, Tous publics ,R,5923.0,480,mars distribution,,0,2012,france
608,de rouille et d'os,15550182,115,651578,0,drame, Tous publics ,R,27154.0,394,ugc distribution,,1,2012,france
609,de si jolis chevaux,45000000,116,28139,0,western, Tous publics ,PG,4860556.0,59,,,0,2001,etats-unis
610,de son vivant,166244,122,90106,0,drame, Tous publics ,,,300,studiocanal,,0,2021,france
611,de toutes nos forces,7570980,90,238763,0,comédie dramatique, Tous publics ,,,306,pathé,,0,2014,france
612,de vrais mensonges,12356886,105,240103,0,comédie, Tous publics ,,,400,pathé,,0,2010,france
613,dead man,9000000,121,63321,0,western, Tous publics ,,104649.0,60,bac films,,0,1996,etats-unis
614,dead man down,30000000,117,64955,0,thriller, Tous publics ,R,5345250.0,148,metropolitan,,0,2013,etats-unis
615,deadpool,58000000,109,1575661,1,comicbook, Moins de 12 ans ,R,132434639.0,478,20th century fox,,1,2016,etats-unis
616,deadpool 2,110000000,120,1186493,1,comicbook, Moins de 12 ans ,R,125507153.0,601,20th century fox,,1,2018,etats-unis
617,death wish (2018),30000000,107,145073,0,aventure - action, Moins de 12 ans ,R,13010267.0,250,paramount,,0,2018,etats-unis
618,deep impact,75000000,120,464802,0,science fiction,,PG,41152375.0,499,uip,,1,1998,etats-unis
619,deepwater,110000000,107,174284,0,catastrophe, Tous publics ,PG,20223544.0,323,snd,,0,2016,etats-unis
620,deja vu,80000000,128,261617,0,thriller, Tous publics ,PG,20574802.0,447,walt disney pictures,,0,2006,etats-unis
621,demain ne meurt jamais,110000000,115,1202360,1,aventure - action, Tous publics ,PG,25143007.0,593,uip,,0,1997,Autre
622,demain on se marie,35000000,95,158516,0,romance, Tous publics ,PG,18865080.0,267,metropolitan,,0,1998,etats-unis
623,demain tout commence,17540562,115,626789,0,comédie dramatique, Tous publics ,,,595,mars distribution,,0,2016,france
624,demolition man,60000000,115,579493,0,science fiction,,R,14262432.0,380,warner bros.,,0,1994,etats-unis
625,dennis la malice,33000000,95,169424,0,film familial, Tous publics ,PG,9331139.0,250,warner bros.,,1,1993,etats-unis
626,dernier amour,6500000,98,47478,0,drame, Tous publics ,,2126.0,187,diaphana,,0,2019,france
627,dernier recours,67000000,101,171956,0,aventure - action, Moins de 12 ans ,R,7010333.0,220,metropolitan,,0,1997,etats-unis
628,des hommes d'influence,15000000,95,221946,0,comédie, Tous publics ,R,7778122.0,228,metropolitan,,0,1998,etats-unis
629,des hommes et des dieux,3994174,120,467950,0,drame, Tous publics ,PG,308895.0,252,mars distribution,,0,2010,france
630,des nouvelles de la planète mars,6300000,101,40312,0,comédie, Tous publics ,,,166,diaphana,,0,2016,france
631,des serpents dans l'avion,35000000,105,166144,0,thriller, Tous publics ,R,13806311.0,335,metropolitan,,0,2006,etats-unis
632,desierto,3166674,94,54033,0,thriller, Moins de 12 ans ,R,514282.0,98,version originale,,0,2016,Autre
633,desperado,7000000,107,170237,0,aventure - action, Moins de 12 ans ,R,7910446.0,201,warner bros.,,0,1995,etats-unis
634,destination finale,23000000,97,234658,1,aventure - action, Moins de 12 ans ,R,10015822.0,337,metropolitan,,0,2000,etats-unis
635,deux en un,55000000,118,87082,0,comédie, Tous publics ,PG,9411055.0,243,ufd,,0,2004,etats-unis
