,titre,budget,duree,entrees_fr,franchise,genres,pegi_fr,pegi_usa,entrees_usa,salles_fr,studio,estimation,is_compositeur,annee,origine
0,l'age de glace 3 - le temps des dinosaures,90000000,87,2403734,1,animation, Tous publics ,PG,41690382.0,783,20th century fox,,0,2009,etats-unis
1,l'ile de nim,37000000,95,243392,0,film familial, Tous publics ,PG,13210579.0,399,snd,,0,2008,etats-unis
2,twilight - chapitre 1 : fascination,37000000,120,755835,1,fantasy, Tous publics ,PG,69637740.0,455,snd,,0,2009,etats-unis
3,#jesuislà,11378260,98,112363,0,comédie, Tous publics ,,,387,gaumont,,0,2020,france
4,#pire soirée,20000000,101,66666,0,comédie, Tous publics ,R,8004283.0,145,sony pictures,,0,2017,etats-unis
5,(s)ex list,20000000,108,95712,0,comédie, Tous publics ,R,5421669.0,208,20th century fox,,0,2011,etats-unis
6,1 duplex pour 3,40000000,97,101217,0,comédie,,PG,4617128.0,120,tfm distribution,,0,2004,etats-unis
7,10 cloverfield lane,15000000,105,262590,0,thriller, Tous publics ,PG,24702752.0,277,paramount,,0,2016,etats-unis
8,10 bonnes raisons de te larguer,16000000,97,46583,0,romance, Tous publics ,PG,8330681.0,136,gbvi,,0,2000,etats-unis
9,10 jours encore sans maman,10070000,96,256753,0,comédie, Tous publics ,,,571,studiocanal,,0,2023,france
10,100 % cachemire,15542650,98,197125,0,comédie, Tous publics ,,,399,wild bunch,,0,2013,france
11,1001 pattes,120000000,96,654270,0,animation, Tous publics ,G,33258052.0,605,gbvi,,0,1999,etats-unis
12,102 dalmatiens,85000000,100,591879,1,film familial, Tous publics ,G,19883351.0,573,gbvi,,0,2001,etats-unis
13,12 heures,35000000,96,82858,0,thriller, Tous publics ,R,183125.0,160,metropolitan,,0,2013,etats-unis
14,127 heures,18000000,94,205262,0,aventure - action, Tous publics ,R,2136801.0,182,pathé,,0,2011,etats-unis
15,15 minutes,42000000,120,164206,0,thriller, Moins de 16 ans ,R,10523154.0,236,metropolitan,,0,2001,etats-unis
16,16 blocs,45000000,105,127935,0,aventure - action,,PG,11855260.0,248,metropolitan,,0,2006,etats-unis
17,17 ans encore,20000000,102,452343,0,comédie, Tous publics ,PG,23722310.0,392,metropolitan,,0,2009,etats-unis
18,18 ans après,10980000,90,567231,0,comédie, Tous publics ,,25611.0,633,bac films,,0,2003,france
19,1917,90000000,119,644738,0,guerre, Tous publics ,R,37000200.0,528,universal,,1,2020,Autre
20,2 days in new york,8129124,91,144635,0,comédie, Tous publics ,R,23942.0,186,rezo films,,0,2012,france
21,2 fast 2 furious,76000000,105,804821,1,aventure - action, Tous publics ,PG,50472480.0,448,uip,,0,2003,etats-unis
22,2 guns,61000000,109,158696,0,aventure - action, Tous publics ,R,27059130.0,342,sony pictures,,0,2013,etats-unis
23,20 ans d'écart,7349979,92,433517,0,comédie, Tous publics ,,,371,europacorp,,0,2013,france
24,2012,200000000,158,2212370,0,catastrophe, Tous publics ,PG,65237614.0,716,sony pictures,,0,2009,etats-unis
25,20th century women,7000000,118,35698,0,comédie dramatique, Tous publics ,R,1385336.0,52,mars distribution,,0,2017,etats-unis
26,21 jump street,42000000,109,144955,0,comédie, Tous publics ,R,36302612.0,191,sony pictures,,0,2012,etats-unis
27,21 grammes,20000000,124,204787,0,drame, Tous publics ,R,988321.0,172,arp selection,,0,2004,etats-unis
28,22 jump street,50000000,112,274341,0,aventure - action, Tous publics ,R,57071445.0,288,sony pictures,,0,2014,etats-unis
29,22 miles,50000000,95,119049,0,aventure - action, Moins de 12 ans ,R,13710825.0,303,metropolitan,,0,2018,etats-unis
30,27 robes,30000000,111,168593,0,romance, Tous publics ,PG,23007725.0,230,20th century fox,,0,2008,etats-unis
31,28 jours en sursis,43000000,104,169947,0,comédie,,PG,10310672.0,158,columbia,,0,2000,etats-unis
32,28 jours plus tard,8000000,112,95134,1,horreur, Moins de 16 ans ,R,10061858.0,195,ufd,,0,2003,Autre
33,"3 billboards, les panneaux de la vengeance",15000000,115,239977,0,drame, Tous publics ,R,4396537.0,162,20th century fox,,0,2018,etats-unis
34,3 coeurs,7135000,106,160854,0,romance, Tous publics ,PG,11794.0,245,wild bunch,,0,2014,france
35,3 jours max,1898935,89,872669,0,comédie, Tous publics ,,,676,studiocanal,,0,2023,france
36,30 ans sinon rien,37000000,98,190937,0,romance, Tous publics ,PG,21054283.0,232,gaumont sony,,0,2004,etats-unis
37,30 jours de nuit,30000000,105,130527,0,horreur, Moins de 12 ans ,R,15951902.0,199,snd,,0,2008,etats-unis
38,300,60000000,117,802975,0,péplum, Moins de 12 ans ,R,70885301.0,485,warner bros.,,1,2007,etats-unis
39,300 : la naissance d'un empire,110000000,102,767436,0,péplum, Moins de 12 ans ,R,45038460.0,454,warner bros.,,1,2014,etats-unis
40,355,75000000,123,120131,0,aventure - action, Tous publics ,PG,4621765.0,432,snd,,1,2022,etats-unis
41,"36, quai des orfèvres",13000000,110,652148,0,thriller, Tous publics ,,,549,gaumont sony,,0,2004,france
42,360,10923517,110,27743,0,drame, Tous publics ,R,12186.0,70,wild bunch,,0,2012,Autre
43,3h10 pour yuma,50000000,117,112959,0,western, Tous publics ,R,14035033.0,214,tfm distribution,,0,2008,etats-unis
44,40 ans : mode d'emploi,35000000,133,125161,0,comédie, Tous publics ,R,11579175.0,180,universal,,0,2013,etats-unis
45,"40 ans, toujours puceau",26000000,116,205065,0,comédie, Tous publics ,R,21422815.0,299,uip,,0,2005,etats-unis
46,40 jours et 40 nuits,17000000,96,377363,0,comédie, Tous publics ,R,12229529.0,401,uip,,0,2002,etats-unis
47,47 ronin,175000000,119,154314,0,aventure - action, Tous publics ,PG,9910310.0,318,universal,,0,2014,etats-unis
48,5 ans de réflexion,30000000,124,18229,0,comédie, Tous publics ,R,10610060.0,45,universal,,0,2012,etats-unis
49,5 enfants et moi,16413562,90,77079,0,film familial, Tous publics ,,,354,metropolitan,,0,2004,Autre
50,500 jours ensemble,7500000,96,82432,0,romance, Tous publics ,PG,3739702.0,141,20th century fox,,0,2009,etats-unis
51,60 secondes chrono,90000000,118,964818,0,aventure - action,,PG,25336048.0,563,gbvi,,0,2000,etats-unis
52,65 - la terre d'avant,45000000,93,187043,0,science fiction, Tous publics ,PG,12328361.0,330,sony pictures,,1,2023,etats-unis
53,666 la malédiction,25000000,108,181888,0,horreur, Moins de 12 ans ,R,16026496.0,280,20th century fox,,0,2006,etats-unis
54,7 psychopathes,15000000,110,92089,0,comédie, Tous publics ,R,4174915.0,161,wild side,,0,2013,etats-unis
55,7 jours et une vie,40000000,103,69860,0,romance, Tous publics ,PG,6219234.0,123,ufd,,0,2002,etats-unis
56,8 femmes,8460000,103,1008915,0,comédie, Tous publics ,R,17496.0,493,mars distribution,,0,2002,france
57,8 mile,41000000,101,922854,0,drame, Tous publics ,R,51240555.0,477,uip,,0,2003,etats-unis
58,88 minutes,30000000,110,135889,0,thriller,,R,6957216.0,194,metropolitan,,0,2007,etats-unis
59,8mm,40000000,123,260642,0,thriller, Moins de 16 ans ,R,14252888.0,245,columbia,,0,1999,etats-unis
60,9 mois ferme,7124618,81,546618,0,comédie, Tous publics ,,,360,wild bunch,,0,2013,france
61,99 francs,12447638,100,517322,0,comédie, Tous publics ,,,407,pathé,,0,2007,france
62,a dangerous method,20000000,99,149627,0,drame, Tous publics ,R,167953.0,184,mars distribution,,1,2011,Autre
63,a history of violence,32000000,95,277394,0,thriller,,R,8103077.0,216,metropolitan,,1,2005,etats-unis
64,a most violent year,19000000,125,173590,0,thriller, Tous publics ,R,1512224.0,142,studiocanal,,0,2014,etats-unis
65,a single man,7000000,99,78831,0,drame, Tous publics ,R,217332.0,65,mars distribution,,0,2010,etats-unis
66,a star is born (2018),36000000,136,351307,0,musical, Tous publics ,R,42908051.0,338,warner bros.,,0,2018,etats-unis
67,a armes égales,50000000,125,271041,0,aventure - action, Tous publics ,R,11094241.0,250,gbvi,,0,1998,etats-unis
68,a bout portant (2010),8979512,85,302664,0,thriller, Tous publics ,R,41031.0,308,gaumont,,0,2010,france
69,a l'aube du sixième jour,82000000,124,312394,0,science fiction, Tous publics ,PG,13020883.0,496,columbia,,0,2000,etats-unis
70,a l'ombre de la haine,4000000,115,56995,0,drame,,R,1800243.0,94,metropolitan,,0,2002,etats-unis
71,a l'épreuve du feu,46000000,117,93112,0,drame, Tous publics ,R,12501586.0,201,ufd,,1,1997,etats-unis
72,a la croisée des mondes: la boussole d'or,190000000,120,769581,0,fantasy, Tous publics ,PG,25783232.0,767,metropolitan,,1,2007,etats-unis
73,a la folie pas du tout,6200000,100,228098,0,drame,,,,354,ufd,,0,2002,france
74,a la recherche du bonheur,55000000,117,338027,0,comédie, Tous publics ,PG,26541709.0,322,gaumont sony,,0,2007,etats-unis
75,a la rencontre de forrester,43000000,136,239902,0,drame, Tous publics ,PG,11112139.0,234,columbia,,0,2001,etats-unis
76,a perdre la raison,6100000,114,55339,0,drame, Tous publics ,,5500.0,91,films du losange,,0,2012,Autre
77,a tout jamais : une histoire de cendrillon,24500000,121,129359,0,romance, Tous publics ,PG,8526904.0,294,ufd,,0,1999,etats-unis
78,a vif !,20000000,100,217940,0,comédie, Tous publics ,R,5002521.0,296,snd,,0,2015,etats-unis
79,a.i. intelligence artificielle,100000000,145,766701,0,science fiction, Tous publics ,PG,29352630.0,687,warner bros.,,1,2001,etats-unis
80,ace ventura,14500000,90,178126,1,comédie, Tous publics ,PG,12115105.0,272,amlf,,0,1995,etats-unis
81,ace ventura en afrique,30000000,98,162596,1,comédie, Tous publics ,PG,37804076.0,220,amlf,,0,1996,etats-unis
82,acide,238964,90,128852,0,drame, Tous publics ,,,458,pathé,,0,2023,france
83,actrices,3553086,107,131812,0,comédie,,,,165,mars distribution,,0,2007,france
84,ad astra,87500000,124,434069,0,science fiction,,PG,19001398.0,425,20th century fox,,0,2019,etats-unis
85,adieu monsieur haffmann,11810000,115,261930,0,drame, Tous publics ,,,610,pathé,,0,2022,france
86,adopte un veuf,5620000,97,419040,0,comédie, Tous publics ,,,424,snd,,0,2016,france
87,after earth,130000000,100,548418,0,science fiction, Tous publics ,PG,27520040.0,497,sony pictures,,1,2013,etats-unis
88,agent zéro zéro,18000000,80,109234,0,comédie, Tous publics ,PG,10448420.0,209,gbvi,,0,1996,etats-unis
89,agents presque secrets,50000000,107,250737,0,comédie, Tous publics ,PG,35535250.0,271,universal,,0,2016,etats-unis
90,agents très spéciaux - code u.n.c.l.e,75000000,116,151780,0,aventure - action, Tous publics ,PG,13421036.0,449,warner bros.,,0,2015,etats-unis
91,agora,73000000,141,142125,0,péplum, Tous publics ,,33262.0,302,mars distribution,,0,2010,Autre
92,ah! si j'étais riche,7590000,105,343848,0,comédie,,,,523,ufd,,0,2002,france
93,"aimer, boire et chanter",7240000,108,140947,0,comédie, Tous publics ,,,199,le pacte,,0,2014,france
94,ainsi va la vie (1998),30000000,115,87443,0,romance, Tous publics ,PG,14210464.0,107,ufd,,0,1998,etats-unis
95,air force one,85000000,125,394197,0,aventure - action, Tous publics ,R,37132505.0,447,gbvi,,1,1997,etats-unis
96,alad'2,19800000,98,851973,0,comédie, Tous publics ,,,752,pathé,,0,2018,france
97,aladdin,28000000,90,819474,0,animation, Tous publics ,G,19289073.0,1,gbvi,,0,1993,etats-unis
98,aladdin (2019),183000000,128,563243,0,aventure - action, Tous publics ,PG,91500929.0,583,walt disney pictures,,0,2019,etats-unis
99,alarme fatale,13000000,85,176790,0,comédie, Tous publics ,PG,9202722.0,128,metropolitan,,0,1993,etats-unis
100,albert à l'ouest,40000000,117,163534,0,western, Tous publics ,R,16797385.0,244,universal,,0,2014,etats-unis
101,alceste à bicyclette,7056404,104,301129,0,comédie, Tous publics ,,3896.0,328,pathé,,0,2013,france
102,alerte,50000000,128,364040,0,aventure - action, Tous publics ,R,13420387.0,314,warner bros.,,1,1995,etats-unis
103,alex cross,35000000,101,54738,0,thriller, Moins de 12 ans ,PG,11396768.0,132,metropolitan,,0,2012,etats-unis
104,alex rider : stormbreaker,40000000,93,173072,0,film familial, Tous publics ,PG,215177.0,330,metropolitan,,0,2006,Autre
105,alexandre,181620000,170,555074,0,péplum,,R,13687087.0,530,pathé,,0,2005,etats-unis
106,ali,105000000,158,505352,0,drame,,R,14710892.0,579,bac films,,0,2002,etats-unis
107,alibi.com,7546570,90,1124383,0,comédie, Tous publics ,,,528,studiocanal,,0,2017,france
108,alibi.com 2,14200000,88,1017788,0,comédie, Tous publics ,,,680,studiocanal,,0,2023,france
109,alice au pays des merveilles (2010),200000000,109,1599583,0,fantasy, Tous publics ,PG,116101023.0,735,walt disney pictures,,1,2010,etats-unis
110,alice de l'autre côté du miroir,170000000,112,455543,0,fantasy, Tous publics ,PG,26858726.0,638,walt disney pictures,,1,2016,etats-unis
111,alice et le maire,4900000,103,274523,0,comédie dramatique, Tous publics ,,,362,bac films,,0,2019,france
112,"alien, la résurrection",70000000,104,1125755,1,science fiction, Moins de 12 ans ,R,16474092.0,507,ufd,,0,1997,etats-unis
113,"alien, le huitième passager (the director's cut)",11000000,116,48427,1,science fiction, Moins de 12 ans ,R,,81,ufd,,1,2003,etats-unis
114,alien: covenant,97000000,122,675785,1,science fiction, Moins de 12 ans ,R,36160621.0,611,20th century fox,,0,2017,etats-unis
115,aline,23590000,123,595211,0,comédie dramatique, Tous publics ,,163058.0,692,gaumont,,0,2021,france
116,alita: battle angel,195000000,121,782778,0,science fiction, Tous publics ,PG,28525613.0,519,20th century fox,,0,2019,etats-unis
117,all is lost,9000000,105,50635,0,aventure - action, Tous publics ,PG,93583.0,144,universal,,0,2013,etats-unis
118,alliés,85000000,101,463630,0,thriller, Tous publics ,R,12701743.0,519,paramount,,1,2016,etats-unis
119,allumeuses!,43000000,84,178361,0,romance, Tous publics ,R,9430667.0,381,columbia,,0,2002,etats-unis
120,alors on danse,7490000,87,167617,0,comédie, Tous publics ,,,440,ugc distribution,,0,2022,france
121,alvin et les chipmunks - a fond la caisse,75000000,86,488106,1,film familial, Tous publics ,PG,14287159.0,582,20th century fox,,0,2016,etats-unis
122,alvin et les chipmunks 2,60000000,88,536385,1,film familial, Tous publics ,PG,48875415.0,526,20th century fox,,0,2009,etats-unis
123,alvin et les chipmunks 3,75000000,87,798683,1,film familial, Tous publics ,G,23244744.0,591,20th century fox,,0,2011,etats-unis
124,amanda,3500000,107,84007,0,drame, Tous publics ,,,125,pyramide,,0,2018,france
125,amants (2021),252599,102,136003,0,drame, Tous publics ,,,368,wild bunch,,0,2021,france
126,ambulance,40000000,137,142412,0,thriller, Moins de 12 ans ,R,8699813.0,434,universal,,0,2022,etats-unis
127,amen,15750000,130,307342,0,drame,,,16284.0,191,pathé,,0,2002,france
128,american assassin,33000000,111,104402,0,thriller, Moins de 12 ans ,R,14846778.0,255,metropolitan,,0,2017,etats-unis
129,american beauty,12500000,122,349269,0,drame, Tous publics ,R,8188587.0,252,uip,,1,2000,etats-unis
130,american bluff,55000000,138,279324,0,thriller, Tous publics ,R,19106933.0,358,metropolitan,,1,2014,etats-unis
131,american dreamz,19000000,107,55077,0,comédie, Tous publics ,PG,3667420.0,179,uip,,0,2006,etats-unis
132,american gangster,100000000,160,485455,0,thriller, Tous publics ,R,43565135.0,379,paramount,,0,2007,etats-unis
133,american history x,10000000,119,136673,0,drame, Moins de 12 ans ,R,1340166.0,95,metropolitan,,0,1999,etats-unis
134,american nightmare,3000000,85,194147,1,science fiction, Moins de 12 ans ,R,34058360.0,192,universal,,0,2013,etats-unis
135,"american party - van wilder, relations publiques",6000000,92,79533,1,comédie, Tous publics ,R,7302913.0,209,metropolitan,,0,2003,etats-unis
136,american pie,11000000,95,203854,1,comédie, Tous publics ,R,18709680.0,368,pathé,,0,1999,etats-unis
137,american pie 2,30000000,105,1250508,1,comédie,,R,45117985.0,495,uip,,0,2001,etats-unis
138,american pie 4,50000000,114,829241,1,comédie, Tous publics ,R,21514080.0,479,universal,,0,2012,etats-unis
139,american pie: marions-les!,55000000,96,633192,1,comédie,,R,33369440.0,642,uip,,0,2003,etats-unis
140,american sniper,58800000,132,1083056,0,guerre, Tous publics ,R,89269066.0,411,warner bros.,,0,2015,etats-unis
141,american ultra,28000000,96,162311,0,comédie, Tous publics ,R,5454284.0,258,metropolitan,,0,2015,etats-unis
142,american girls,10000000,98,93401,0,comédie, Tous publics ,PG,17362105.0,141,metropolitan,,0,2001,etats-unis
143,ami-ami,2903872,86,99573,0,comédie, Tous publics ,,,294,le pacte,,0,2018,france
144,amistad,40000000,152,246403,0,drame, Tous publics ,R,5176006.0,289,uip,,1,1998,etats-unis
145,amityville,19000000,89,242068,0,horreur, Moins de 12 ans ,R,23507007.0,244,20th century fox,,0,2005,etats-unis
146,amour,8100000,127,214179,0,drame, Tous publics ,PG,68266.0,235,films du losange,,0,2012,france
147,amour & turbulences,5143810,96,198795,0,comédie, Tous publics ,,4937.0,344,universal,,0,2013,france
148,amour & amnésie,75000000,99,86698,0,romance,,PG,39852237.0,245,columbia,,0,2004,etats-unis
149,amour et mensonges,22000000,106,113116,0,romance, Tous publics ,R,11115697.0,99,warner bros.,,1,1995,etats-unis
150,amoureux de ma femme,6300000,84,185552,0,comédie dramatique, Tous publics ,,,326,sony pictures,,0,2018,france
151,"anaconda, le prédateur",52500000,90,443422,0,aventure - action, Tous publics ,PG,16620887.0,267,columbia,,0,1997,etats-unis
152,anastasia,53000000,85,575804,0,animation, Tous publics ,G,14104933.0,596,ufd,,0,1998,etats-unis
153,angel-a,1200000,90,327730,0,comédie, Tous publics ,R,29727.0,300,europacorp,,0,2005,france
154,anges & démons,150000000,140,805694,1,thriller, Tous publics ,PG,46204168.0,758,sony pictures,,1,2009,etats-unis
155,angles d'attaque,40000000,90,265553,0,thriller, Tous publics ,PG,22874936.0,354,sony pictures,,0,2008,etats-unis
156,angry birds - le film,73000000,97,334916,1,animation, Tous publics ,PG,38155177.0,532,sony pictures,,0,2016,etats-unis
157,angélique,15108687,113,70300,0,drame, Tous publics ,,,302,europacorp,,0,2013,france
158,anna (2019),30690000,119,280773,0,thriller, Tous publics ,R,3600647.0,657,pathé,,1,2019,france
159,anna et le roi,65000000,148,283551,0,romance, Tous publics ,PG,5223416.0,347,ufd,,0,2000,etats-unis
160,annie (2014),65000000,118,86677,0,musical, Tous publics ,PG,15861939.0,184,sony pictures,,0,2015,etats-unis
161,annie colère,171503,120,68373,0,comédie dramatique, Tous publics ,,,325,diaphana,,0,2022,france
162,ant-man,130000000,118,102010,1,comicbook, Tous publics ,PG,57225526.0,619,walt disney pictures,,0,2015,etats-unis
163,ant-man et la guêpe : quantumania,200000000,125,735356,1,comicbook, Tous publics ,PG,106109650.0,625,walt disney pictures,,0,2023,etats-unis
164,ant-man et la guêpe,162000000,118,713011,1,comicbook, Tous publics ,PG,75812205.0,695,walt disney pictures,,0,2018,etats-unis
165,"antartica, prisonniers du froid",40000000,112,250169,0,aventure - action, Tous publics ,PG,20188176.0,473,walt disney pictures,,0,2006,etats-unis
166,anthony zimmer,11157410,90,280435,0,thriller, Tous publics ,,,325,mars distribution,,0,2005,france
167,antichrist,11000000,104,63719,0,thriller, Moins de 16 ans ,,71397.0,119,films du losange,,0,2009,Autre
168,antigang,8006013,93,193422,0,aventure - action, Tous publics ,,,283,snd,,0,2015,france
169,"anything else, la vie et tout le reste",18000000,108,189224,0,comédie, Tous publics ,R,1673125.0,198,bac films,,0,2003,etats-unis
170,apollo 13,62000000,140,628414,0,aventure - action, Tous publics ,PG,25353380.0,377,uip,,1,1995,etats-unis
171,appaloosa,20000000,115,131985,0,western, Tous publics ,R,5050310.0,127,metropolitan,,0,2008,etats-unis
172,apparences,80000000,129,508911,0,thriller, Moins de 12 ans ,PG,29702959.0,395,ufd,,1,2000,etats-unis
173,apparitions,75000000,104,185365,0,drame,,PG,10216025.0,202,gbvi,,0,2002,etats-unis
174,appelez-moi dave,60000000,90,158880,0,comédie, Tous publics ,PG,5251918.0,320,20th century fox,,0,2008,etats-unis
175,apprentis parents,48000000,119,83403,0,comédie, Tous publics ,PG,14504315.0,224,paramount,,0,2019,etats-unis
176,après vous,8700000,110,267958,0,comédie, Tous publics ,R,25504.0,350,mars distribution,,0,2003,france
177,aquaman,180000000,144,940003,0,comicbook, Tous publics ,PG,67873522.0,607,warner bros.,,0,2018,etats-unis
178,aquaman et le royaume perdu,205000000,115,552105,0,comicbook, Tous publics ,PG,27686211.0,663,warner bros.,,0,2023,etats-unis
179,arac attack,30000000,38,181637,0,aventure - action, Moins de 12 ans ,PG,6485458.0,461,warner bros.,,0,2002,etats-unis
180,argent comptant,25000000,95,86622,0,aventure - action,,R,10654369.0,120,metropolitan,,0,1998,etats-unis
181,argo,44500000,119,365701,0,thriller, Tous publics ,R,19458109.0,343,warner bros.,,1,2012,etats-unis
182,argylle,200000000,139,219098,0,aventure - action, Tous publics ,PG,17473540.0,600,universal,,0,2024,Autre
183,arlington road,21500000,117,100318,0,thriller, Tous publics ,R,7515145.0,247,universal,,0,1999,etats-unis
184,armageddon,140000000,150,1217814,0,science fiction, Tous publics ,PG,36089972.0,635,gbvi,,0,1998,etats-unis
185,armageddon time,15000000,115,155547,0,drame, Tous publics ,R,792760.0,308,universal,,0,2022,etats-unis
186,arnaque à la carte,35000000,111,32931,0,comédie, Tous publics ,R,34551025.0,164,universal,,0,2013,etats-unis
187,"arnaques, crimes et botanique",1350000,106,44513,0,thriller, Tous publics ,R,482726.0,74,polygram,,0,1998,Autre
188,"arrietty, le petit monde des chapardeurs",23000000,94,183156,0,animation, Tous publics ,G,6446395.0,205,walt disney pictures,,0,2011,Autre
189,arrête-moi si tu peux,52000000,141,1137654,0,aventure - action,,PG,30053627.0,709,uip,,1,2003,etats-unis
190,arsène lupin,18070000,130,444610,0,aventure - action, Tous publics ,,,599,snd,,0,2004,france
191,arthur et la vengeance de maltazard,63237392,94,1213383,1,animation, Tous publics ,,,925,europacorp,,1,2009,france
192,arthur et les minimoys,65199232,95,1510369,1,animation, Tous publics ,,4294936.0,956,europacorp,,1,2006,france
193,assassin's creed,125000000,140,881017,0,aventure - action, Moins de 12 ans ,PG,10278225.0,543,20th century fox,,0,2016,etats-unis
194,assaut sur le central 13,30000000,110,194391,0,aventure - action, Moins de 12 ans ,R,6502724.0,357,metropolitan,,0,2005,etats-unis
195,asterix aux jeux olympiques,74982616,114,3007811,1,comédie, Tous publics ,,,1078,pathé,,0,2008,france
196,asteroid city,25000000,106,117498,0,comédie dramatique, Tous publics ,PG,9053551.0,199,universal,,1,2023,etats-unis
197,astro boy,65000000,94,82811,0,animation, Tous publics ,PG,6702923.0,445,snd,,0,2009,etats-unis
198,astérix et obélix : l'empire du milieu,60000000,112,1882686,1,comédie, Tous publics ,,,772,pathé,,0,2023,france
199,astérix et obélix contre césar,41900000,109,2718443,1,comédie, Tous publics ,,,780,pathé,,0,1999,france
200,astérix et obélix: au service de sa majesté,61239780,109,1132279,1,comédie, Tous publics ,,,762,wild bunch,,0,2012,france
201,astérix et obélix: mission cléopatre,50300000,107,3685097,1,comédie, Tous publics ,,,945,pathé,,0,2002,france
202,astérix et obélix: mission cléopatre (rep. 2023),50300000,107,183334,1,comédie, Tous publics ,,,405,pathé,,0,2023,france
203,astérix et les vikings,21480000,78,491328,0,animation, Tous publics ,,,606,snd,,0,2006,france
204,astérix: le domaine des dieux,31031500,85,842999,0,animation, Tous publics ,,,696,snd,,0,2014,france
205,"atlantide, l'empire perdu",120000000,95,1075085,0,animation, Tous publics ,PG,20342105.0,800,gbvi,,1,2001,etats-unis
206,atomic blonde,30000000,115,233245,0,thriller, Moins de 12 ans ,R,18286420.0,394,universal,,0,2017,etats-unis
207,au bout de la nuit,20000000,107,192341,0,thriller, Moins de 12 ans ,R,12469631.0,233,20th century fox,,0,2008,etats-unis
208,au bout des doigts,6000000,106,180515,0,comédie,,,,254,mars distribution,,0,2018,france
209,au bout du conte,5939175,112,369847,0,comédie, Tous publics ,,,335,memento films,,0,2013,france
210,au coeur de l'océan,100000000,121,138532,0,aventure - action, Tous publics ,PG,11053366.0,368,warner bros.,,0,2015,etats-unis
211,au cœur du mensonge,570032,113,240122,0,thriller, Tous publics ,,,246,mk2 diffusion,,0,1999,france
212,au nom d'anna,29000000,129,189162,0,romance, Tous publics ,PG,8078671.0,212,gbvi,,0,2000,etats-unis
213,au nom de la terre,5370000,103,471679,0,drame, Tous publics ,,,437,diaphana,,0,2019,france
214,au nom de ma fille,7990000,87,190205,0,drame, Tous publics ,,1623.0,253,studiocanal,,0,2016,france
215,au revoir là-haut,19746328,117,550185,0,comédie dramatique, Tous publics ,,,488,gaumont,,0,2017,france
216,"au revoir, à jamais",65000000,120,219442,0,aventure - action, Moins de 12 ans ,R,9065363.0,251,metropolitan,,1,1996,etats-unis
217,au-delà,50000000,129,776428,0,thriller, Tous publics ,PG,12018147.0,446,warner bros.,,0,2011,etats-unis
218,au-delà de nos rêves,85000000,106,97946,0,drame, Tous publics ,PG,15833592.0,303,polygram,,0,1998,etats-unis
219,aurore (2017),3200000,89,154518,0,comédie dramatique, Tous publics ,,,200,diaphana,,0,2017,france
220,aussi profond que l'océan,40000000,107,80986,0,drame, Tous publics ,PG,5558400.0,99,columbia,,0,1999,etats-unis
221,austin powers,17000000,95,99667,1,comédie, Tous publics ,PG,9548111.0,188,bac films,,0,1997,etats-unis
222,"austin powers 2, l'espion qui m'a tirée",33000000,95,494479,1,comédie, Tous publics ,PG,54917604.0,497,metropolitan,,0,1999,etats-unis
223,austin powers dans goldmember,63000000,95,372429,1,comédie, Tous publics ,PG,73071188.0,567,metropolitan,,0,2002,etats-unis
224,australia (2008),130000000,165,747258,0,drame, Tous publics ,PG,14800723.0,646,20th century fox,,0,2008,etats-unis
225,avant l'hiver,7990000,102,144290,0,drame, Tous publics ,,,225,ugc distribution,,0,2013,france
226,avatar,315000000,160,2648596,1,science fiction, Tous publics ,PG,77025481.0,726,20th century fox,,1,2009,etats-unis
227,avatar (rep. 2022),315000000,160,335359,1,science fiction, Tous publics ,PG,10529576.0,344,walt disney pictures,,1,2022,etats-unis
228,avatar (special edition),25000000,160,53756,1,science fiction, Tous publics ,PG,4007750.0,78,20th century fox,,1,2010,etats-unis
229,avatar : la voie de l'eau,350000000,192,2739848,1,science fiction, Tous publics ,PG,134100226.0,762,walt disney pictures,,0,2022,etats-unis
230,"ave, césar!",22000000,100,368023,0,comédie, Tous publics ,PG,11355225.0,429,universal,,0,2016,etats-unis
231,avec amour et acharnement,157270,116,73581,0,drame, Tous publics ,,,225,ad vitam,,0,2022,france
232,avengers : l'ère d'ultron,250000000,141,1926049,1,comicbook, Tous publics ,PG,191271109.0,828,walt disney pictures,,1,2015,etats-unis
233,avengers: endgame,356000000,181,3426471,1,comicbook, Tous publics ,PG,357115007.0,633,walt disney pictures,,1,2019,etats-unis
234,avengers: infinity war,295000000,156,2565953,1,comicbook, Tous publics ,PG,257698183.0,843,walt disney pictures,,1,2018,etats-unis
235,aviator,112000000,170,640883,0,drame, Tous publics ,PG,8631367.0,680,tfm distribution,,1,2005,etats-unis
236,avis de mistral,8500000,104,203504,0,comédie dramatique, Tous publics ,,,326,gaumont,,0,2014,france
237,avril,1600000,96,44979,0,drame,,,,88,haut et court,,0,2006,france
238,away we go,17000000,98,107127,0,comédie, Tous publics ,R,130411.0,81,mars distribution,,0,2009,etats-unis
239,azur et asmar,9473614,99,430753,0,animation, Tous publics ,,,551,diaphana,,0,2006,france
240,b.a.t. (bon à tirer),36000000,105,186354,0,comédie, Tous publics ,R,13535374.0,263,warner bros.,,0,2011,etats-unis
241,babel,25000000,135,200643,0,drame, Tous publics ,R,5558095.0,250,mars distribution,,0,2006,etats-unis
