titre,genres,langue,pays,pegi,duree,annee,director_x,scenaristes,casting_principal,casting_complet,actors,director_y,entrees_fr,nationalite,semaine_fr,studio,title,titre_original,continent
un petit frère,['Drame'],['Français'],France,Tous publics,116,2022,Léonor Serraille,Léonor Serraille,"['Léonor Serraille', 'Léonor Serraille', 'Casting principal']","['Annabelle Lengronne', 'Stéphane Bak', 'Kenzo Sambin', 'Ahmed Sylla', 'Sidy Fofana', 'Milan Doucansi', 'Audrey Kouakou', 'Etienne Minoungou', 'Jean-Christophe Folly', 'Majd Mastoura', 'Pascal Rénéric', 'Thibaut Evrard', 'Angelina Woreth', 'Manon Clavel', 'Laetitia Dosch', 'Maïmouna Bakari', 'Manuel Le Lièvre', 'Naïma Kadri']","Annabelle Lengronne,Stéphane Bak,Kenzo Sambin","Léonor Serraille,Léonor Serraille",18993,france,01/02/2023,diaphana distribution,un petit frère,pas de titre original,Europe
juniors,"['Comédie', 'Drame']",['Français'],France,Tous publics,95,2022,Hugo P. Thomas,Hugo P. Thomas,"['Hugo P. Thomas', 'Scénario', 'Hugo P. Thomas']","['Vanessa Paradis', 'Ewan Bourdelles', 'Noah Zandouche', 'Alaïs Bertrand', 'Clara Machado', 'Aurélien Moulin', 'Marie Salvetat', 'Franck Ropers', 'Marielle Gautier', 'Florian Fresquet', 'Julien Beats', 'Mathys Nourry', 'Darren Fontenit', 'Maxime Touzard', 'Maxime Brochet', 'Alexandre Sarrazin', 'Marsault Ligonnière', 'Elias Freland']","Vanessa Paradis,Ewan Bourdelles,Noah Zandouche","Hugo P. Thomas,Hugo P. Thomas,Jules Lugan",6943,france,26/07/2023,the jokers / les bookmakers,juniors,pas de titre original,Europe
un triomphe,"['Comédie', 'Drame']","['Français', 'Russe']",France,Tous publics,105,2020,Emmanuel Courcol,Emmanuel Courcol,"['Emmanuel Courcol', 'Scénario', 'Emmanuel Courcol']","['Kad Merad', 'David Ayala', 'Lamine Cissokho', 'Sofian Khammes', 'Pierre Lottin', 'Wabinlé Nabié', 'Aleksandr Medvedev', 'Saïd Benchnafa', 'Marina Hands', 'Laurent Stocker', 'Mathilde Courcol-Rozès', 'Catherine Lascault', 'Yvon Martin', 'Adama Bathily', 'Brigitte Froment', 'Vladimir Golicheff', 'Thierry de Carbonnières', 'Sandie Masson']","Kad Merad,David Ayala,Lamine Cissokho","Emmanuel Courcol,Emmanuel Courcol,Thierry de Carbonnières",143968,france,01/09/2021,memento distribution,un triomphe,pas de titre original,Europe
petite nature,['Drame'],['Français'],France,Tous publics,93,2021,Samuel Theis,Samuel Theis,"['Samuel Theis', 'Samuel Theis', 'Gaëlle Macé']","['Aliocha Reinert', 'Mélissa Olexa', 'Antoine Reinartz', 'Izïa Higelin', 'Jade Schwartz', 'Ilario Gallo', 'Abdel Benchendikh', 'Romane Esch', 'Jonathan Zito', 'Thierry Luddecke', 'Stéphane Caron', 'Séverine Larbi-Boucherif', 'Zaina Benhabouche', 'Angélique Litzenburger', 'Meriem Thome', 'Yassine Khedim', 'Yaniss Repiquet', 'Mérésia Litzenberger']","Aliocha Reinert,Antoine Reinartz,Mélissa Olexa","Samuel Theis,Samuel Theis",33148,france,09/03/2022,ad vitam,petite nature,pas de titre original,Europe
en plein feu,"['Drame', 'Thriller']",['Français'],France,Tous publics,85,2022,Quentin Reynaud,Quentin Reynaud,"['Quentin Reynaud', 'Quentin Reynaud', 'Casting principal']","['Alex Lutz', 'André Dussollier', 'Laura Sepul', 'Vallier Vaudin', 'Suzanne Queau Picard', 'Jules Marchand', 'Christophe Sardain', 'Chantal Ravalec', 'Nganji Mutiri', 'Sophie Parel', 'Alexandre Collado', 'Elodie Charmensat', 'Alexis Delong', 'Martin Luminet', 'David Enfrein', 'Anna Flori-Lamour', 'Isabelle Labeyrie', 'Sébastien Baer']","Alex Lutz,André Dussollier,Laura Sepul",Quentin Reynaud,20637,france,08/03/2023,apollo films,en plein feu,pas de titre original,Europe
the card counter,"['Policier', 'Drame', 'Thriller']",['Anglais'],États-Unis,Tous publics avec avertissement,111,2021,Paul Schrader,Paul Schrader,"['Paul Schrader', 'Paul Schrader', 'Casting principal']","['Oscar Isaac', 'Tiffany Haddish', 'Tye Sheridan', 'Willem Dafoe', 'Alexander Babara', 'Bobby C. King', 'Ekaterina Baker', 'Bryan Truong', 'Dylan Flashner', 'Adrienne Lau', 'Joel Michaely', 'Rachel Michiko Whitney', 'Muhsin Fliah', 'Joseph Singletary', 'Kirill Sheynerman', 'Amia Edwards', 'Britton Webb', 'Amye Gousset']","Oscar Isaac,Tiffany Haddish,Tye Sheridan","Paul Schrader,Paul Schrader",29051,u.s.a.,2021/01/2022,condor distribution,the card counter,pas de titre original,Amérique du Nord
tout s'est bien passé,['Drame'],"['Français', 'Allemand', 'Anglais']",France,Tous publics,113,2021,François Ozon,François Ozon,"['François Ozon', 'Emmanuèle Bernheim', 'François Ozon']","['Sophie Marceau', 'André Dussollier', 'Géraldine Pailhas', 'Charlotte Rampling', 'Éric Caravaca', 'Hanna Schygulla', 'Grégory Gadebois', 'Judith Magre', 'Jacques Nolot', 'Daniel Mesguich', 'Nathalie Richard', 'Annie Mercier', 'Denise Chalem', 'François Perache', 'Catherine Chevallier', 'Quentin Redt-Zimmer', 'Alexia Chicot', 'Madeleine Nosal Romane']","Sophie Marceau,André Dussollier,Géraldine Pailhas","François Ozon,François Ozon",100494,france,22/09/2021,diaphana distribution,tout s'est bien passé,pas de titre original,Europe
fighter,"['Action', 'Thriller']","['Hindi', 'Anglais']",Inde,,166,2024,Siddharth Anand,Siddharth Anand,"['Siddharth Anand', 'Scénario', 'Siddharth Anand']","['Hrithik Roshan', 'Deepika Padukone', 'Anil Kapoor', 'Karan Singh Grover', 'Akshay Oberoi', 'Ramon Chibb', 'Rishabh Sawhney', 'Sanjeeda Sheikh', 'Ashutosh Rana', 'Sanjiv Chopra', 'Chandan Anand', 'Seerat Mast', 'Talat Aziz', 'Sharib Hashmi', 'Chandra Shekhar Dutta', 'Aditi Sandhya Sharma', 'Banveen Singh', 'Vinay Varma']","Deepika Padukone,Hrithik Roshan,Anil Kapoor","Siddharth Anand,Ramon Chibb",2338,inde,24/01/2024,friday entertainment,fighter,pas de titre original,Asie
storia di vacanze,"['Drame', 'Mystère', 'Thriller']",['Italien'],Italie,,98,2020,Damiano D'Innocenzo,Damiano D'Innocenzo,"[""Damiano D'Innocenzo"", ""Fabio D'Innocenzo"", ""Damiano D'Innocenzo""]","['Elio Germano', 'Tommaso Di Cola', 'Giulietta Rebeggiani', 'Barbara Chichiarelli', 'Justin Korovkin', 'Gabriel Montesi', 'Lino Musella', ""Ileana D'Ambra"", 'Max Malatesta', 'Cristina Pellegrino', 'Giulia Melillo', 'Aldo Ottobrino', 'Laura Borgioli', 'Enrico Pittari', 'Giulia Galiani', 'Federico Majorana', 'Raquel Electra', 'Sara Bertelà']","Elio Germano,Barbara Chichiarelli,Lino Musella","Fabio D'Innocenzo,Damiano D'Innocenzo,Damiano D'Innocenzo,Fabio D'Innocenzo",2986,italie,13/10/2021,le pacte,storia di vacanze,favolacce,Europe
devotion,"['Action', 'Biographique', 'Drame']","['Anglais', 'Coréen']",États-Unis,,139,2022,J.D. Dillard,J.D. Dillard,"['J.D. Dillard', 'Jake Crane', 'Jonathan Stewart']","['Jonathan Majors', 'Glen Powell', 'Christina Jackson', 'Thomas Sadoski', 'Daren Kagasoff', 'Joe Jonas', 'Spencer Neville', 'Nick Hargrove', 'Boone Platt', 'Dean Denton', 'Thad Luckinbill', 'Joseph Cross', 'Serinda Swan', 'Matt Riedy', 'Arianna Rosario', 'Gigi Paris', 'Erik Bello', 'Michael David Anderson']","Jonathan Majors,Glen Powell,Christina Jackson","J.D. Dillard,Jake Crane,Jonathan Stewart (II)",5902803,u.s.a.,25/11/2022,,devotion,pas de titre original,Amérique du Nord
beast,"['Action', 'Aventure', 'Drame']",['Anglais'],États-Unis,Tous publics avec avertissement,93,2022,Baltasar Kormákur,Baltasar Kormákur,"['Baltasar Kormákur', 'Jaime Primak Sullivan', 'Ryan Engle']","['Liyabuya Gongo', 'Martin Munro', 'Daniel Hadebe', 'Thapelo Sebogodi', 'Chris Langa', 'Mduduzi Mavimbela', 'Chris Gxalaba', 'Idris Elba', 'Kazi Khuboni', 'Leah Jeffries', 'Iyana Halley', 'Sharlto Copley', 'Tafara Nyatsanza', 'Ronald Mkwanazi', 'Naledi Mogadime', 'Thabo Rametsi']","Idris Elba,Sharlto Copley,Iyana Halley","Baltasar Kormákur,Ryan Engle",116929,u.s.a.,24/08/2022,universal pictures international france,beast,pas de titre original,Amérique du Nord
sacrées momies,"['Animation', 'Aventure', 'Comédie']","['Anglais', 'Espagnol', 'Catalan']",Espagne,Tous publics,88,2023,Juan Jesús García Galocha,Juan Jesús García Galocha,"['Juan Jesús García Galocha', 'Scénario', 'Jordi Gasull']","['Óscar Barberán', 'Ana Esther Alborg', 'Luis Reina', 'María Luisa Solá', 'Jaume Solà', 'José Luis Mediavilla', 'José Javier Serrano', 'Aleix Estadella', 'María Moscardó', 'Juan Carlos Gustems', 'Roberto Cuenca Martínez', 'Karina Pasian', 'Luis Torrelles', 'Roser Aldabó', 'Francesc Belda', 'Nikki García', 'Enrique Sequero', 'Pilar Esteras']","Lou Jean,Ana Esther Alborg,Roser Aldabó Arnau","Juan Jesús García Galocha,Jordi Gasull,Javier López Barreira",168937,espagne,08/02/2023,warner bros. france,sacrées momies,moomios,Europe
