titre,genres,langue,pays,pegi,duree,annee,director_x,scenaristes,casting_principal,casting_complet,actors,director_y,entrees_fr,nationalite,semaine_fr,studio,title,titre_original,continent
heureux gagnants,['Comédie'],['Français'],France,,103,2024,Romain Choay,Romain Choay,"['Romain Choay', 'Maxime Govare', 'Scénario']","['Fabrice Eboué', 'Audrey Lamy', 'Anouk Grinberg', 'Pauline Clément', 'Louise Coldefy', 'Sami Outalbali', 'Victor Meutelet', 'Mathieu Lourdel', 'Illyès Salah', 'Yasin Houicha', 'Ayumi Roux', 'Guy Lecluyse', 'Sam Karmann', 'Inès Angelina Mnafek-Amandio', 'Esteban Hernandez-Sanchez', 'Valentin Louis', 'Inès Melab', 'Sara Ginac']","Audrey Lamy,Fabrice Eboué,Anouk Grinberg","Maxime Govare,Romain Choay,Maxime Govare,Romain Choay",136628,france,13/03/2024,warner bros. france,heureux gagnants,pas de titre original,Europe
14 jours pour aller mieux,['Comédie'],['Français'],France,,90,2024,Edouard Pluvieux,Edouard Pluvieux,"['Edouard Pluvieux', 'Scénario', 'Benjamin Demay']","['Maxime Gasteuil', 'Zabou Breitman', 'Romain Lancry', 'Lionel Abelanski', 'Chantal Lauby', 'Michel Boujenah', 'Bernard Farcy', 'Anne Serra', 'Estéban', 'Nader Boussandel', 'David Salles', 'Tatiana Gousseff', 'Clémence Bretécher', 'Rosa Bursztein', 'Redouane Bougheraba', 'Kahina Mounier', 'Matthias Quiviger', 'Ricky Tribord']","Maxime Gasteuil,Zabou Breitman,Romain Lancry","Edouard Pluvieux,Lionel Dutemple,Edouard Pluvieux",126678,france,06/03/2024,wild bunch distribution,14 jours pour aller mieux,pas de titre original,Europe
la vie de ma mère,"['Comédie', 'Drame']",['Français'],France,,105,2023,Julien Carpentier,Julien Carpentier,"['Julien Carpentier', 'Scénario', 'Julien Carpentier']","['Agnès Jaoui', 'William Lebghil', 'Salif Cissé', 'Rosita Dadoun Fernandez', 'Alison Wheeler', 'Franck Beckmann', 'Serge Feuillard', 'Mamadou Haidara', 'Maxence Tual', 'Lydie Muller', 'Noémie Zeitoun', 'Stéphane Petillot', 'Thaïs Vauquières', 'Mohammed Bendahma', 'Mouad Habrani', 'Nicolas Bourgasser', 'Patrick Robine', 'Natacha Davidovic']","Agnès Jaoui,William Lebghil,Salif Cissé","Julien Carpentier,Julien Carpentier,Benjamin Garnier",58613,france,06/03/2024,kmbo,la vie de ma mère,pas de titre original,Europe
la zone d'intérêt,"['Drame', 'Historique', 'Guerre']","['Allemand', 'Polonais', 'Yiddish']",États-Unis,Tous publics,105,2023,Jonathan Glazer,Jonathan Glazer,"['Jonathan Glazer', 'Jonathan Glazer', 'Martin Amis']","['Christian Friedel', 'Sandra Hüller', 'Johann Karthaus', 'Luis Noah Witte', 'Nele Ahrensmeier', 'Lilli Falk', 'Anastazja Drobniak', 'Cecylia Pekala', 'Kalman Wilson', 'Medusa Knopf', 'Max Beck', 'Slava the Dog', 'Andrey Isaev', 'Julia Babiarz', 'Stephanie Petrowitz', 'Martyna Poznanski', 'Zuzanna Kobiela', 'Benjamin Utzerath']","Christian Friedel,Sandra Hüller,Johann Karthaus","Jonathan Glazer,Jonathan Glazer",239108,u.s.a.,31/01/2024,bac films,la zone d'intérêt,the zone of interest,Amérique du Nord
il reste encore demain,"['Comédie', 'Drame']",['Italien'],Italie,Tous publics,118,2023,Paola Cortellesi,Paola Cortellesi,"['Paola Cortellesi', 'Furio Andreotti', 'Giulia Calenda']","['Paola Cortellesi', 'Valerio Mastandrea', 'Romana Maggiora Vergano', 'Emanuela Fanelli', 'Giorgio Colangeli', 'Vinicio Marchioni', 'Francesco Centorame', 'Raffaele Vannoli', 'Paola Tiziana Cruciani', 'Yonv Joseph', 'Alessia Barela', 'Federico Tocci', 'Priscilla Micol Marino', 'Maria Chiara Orti', 'Silvia Salvatori', 'Mattia Baldo', 'Gianmarco Filippini', 'Chiara Bono']","Paola Cortellesi,Valerio Mastandrea,Romana Maggiora Vergano","Paola Cortellesi,Paola Cortellesi,Furio Andreotti",145340,italie,13/03/2024,universal pictures international france,il reste encore demain,c'è ancora domani,Europe
madame de sévigné,"['Drame', 'Historique']",['Français'],France,,93,2023,Isabelle Brocard,Isabelle Brocard,"['Isabelle Brocard', 'Scénario', 'Isabelle Brocard']","['Karin Viard', 'Ana Girardot', 'Cédric Kahn', 'Noémie Lvovsky', 'Robin Renucci', 'Cyrille Mairesse', ""Antoine Prud'homme de la Boussinière"", 'Alain Libolt', 'Laurent Grévill', 'Marine Cremet', 'Sava Lolov', 'Mathieu Perotto', 'Benjamin Wangermee', 'Hyam Zaytoun', 'Philippe Altier', 'Lorine Wolff', 'Niseema Theillaud', 'Elisa Leca']","Karin Viard,Ana Girardot,Cédric Kahn","Isabelle Brocard,Isabelle Brocard,Yves Thomas",112650,france,28/02/2024,orange studio distribution / ad vitam,madame de sévigné,pas de titre original,Europe
bolero,"['Comédie', 'Drame', 'Romantique']",['Anglais'],États-Unis,,105,1984,John Derek,John Derek,"['John Derek', 'John Derek', 'Casting principal']","['Bo Derek', 'George Kennedy', 'Andrea Occhipinti', 'Ana Obregón', ""Olivia d'Abo"", 'Greg Bensen', 'Ian Cochrane', 'Mirta Miller', 'Mickey Knox', 'Paul Stacey', 'James Stacey', 'Russell Brook', 'Corinne Russell']","Raphaël Personnaz,Doria Tillier,Jeanne Balibar","Anne Fontaine,Anne Fontaine,Claire Barré",177724,france,06/03/2024,snd,bolero,pas de titre original,Amérique du Nord
la salle des profs,['Drame'],"['Allemand', 'Turc', 'Polonais', 'Anglais']",Allemagne,PG-13,98,2023,Ilker Çatak,Ilker Çatak,"['Ilker Çatak', 'Johannes Duncker', 'Ilker Çatak']","['Leonie Benesch', 'Anne-Kathrin Gummich', 'Rafael Stachowiak', 'Michael Klammer', 'Eva Löbau', 'Kathrin Wehlisch', 'Sarah Bauerett', 'Canan Suvatlar', 'Kersten Reimann', 'Henriette Sievers', 'Benjamin Bishop', 'Tim Porath', 'Katinka Auberger', 'Katharina Marie Schubert', 'Uygar Tamer', 'Özgür Karadeniz', 'Leonard Stettnisch', 'Oskar Zickur']","Leonie Benesch,Michael Klammer,Rafael Stachowiak","İlker Çatak,İlker Çatak,Johannes Duncker",90612,allemagne,06/03/2024,tandem,la salle des profs,das lehrerzimmer,Europe
dune,"['Action', 'Aventure', 'Drame']","['Anglais', 'Mandarin']",États-Unis,Tous publics,155,2021,Denis Villeneuve,Denis Villeneuve,"['Denis Villeneuve', 'Scénario', 'Jon Spaihts']","['Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya', 'Oscar Isaac', 'Jason Momoa', 'Stellan Skarsgård', 'Stephen McKinley Henderson', 'Josh Brolin', 'Javier Bardem', 'Sharon Duncan-Brewster', 'Chang Chen', 'Dave Bautista', 'David Dastmalchian', 'Charlotte Rampling', 'Babs Olusanmokun', 'Benjamin Clémentine', 'Souad Faress', 'Golda Rosheuvel']","Timothée Chalamet,Rebecca Ferguson,Oscar Isaac","Denis Villeneuve,Jon Spaihts,Denis Villeneuve",1030687,u.s.a.,15/09/2021,warner bros. france,dune,,Amérique du Nord
la nouvelle femme,"['Biographique', 'Drame']","['Italien', 'Français']",France,Tous publics,100,2023,Léa Todorov,Léa Todorov,"['Léa Todorov', 'Catherine Paillé', 'Léa Todorov']","['Leïla Bekhti', 'Jasmine Trinca', 'Rafaëlle Sonneville-Caby', 'Raffaele Esposito', 'Laura Borelli', 'Nancy Huston', 'Agathe Bonitzer', 'Sébastien Pouderoux', 'Pietro Ragusa', 'Marius Arnaud', 'Alice Astolfi', 'Baptiste Astolfi', 'Ylan Bazile', 'Tess Bentolila', 'Oscar Bloess', 'Aymie Brochard', 'Isidore Canto-Larranaga y Ausin', 'Lena Cetkovic']","Jasmine Trinca,Leïla Bekhti,Rafaëlle Sonneville-Caby","Léa Todorov,Léa Todorov",51632,france,13/03/2024,ad vitam,la nouvelle femme,pas de titre original,Europe
maison de retraite 2,['Comédie'],['Français'],France,Tous publics,102,2023,Claude Zidi Jr.,Claude Zidi Jr.,"['Claude Zidi Jr.', 'Kev Adams', 'Élodie Hesme']","['Kev Adams', 'Jean Reno', 'Daniel Prévost', 'Liliane Rovère', 'Firmine Richard', 'Michel Jonasz', 'Enrico Macias', 'Chantal Ladesou', 'Amanda Lear', 'Jarry', 'Brahim Bouhlel', 'Stéphane Debac', 'Louna Espinosa', 'Anne Marivin', 'Marthe Villalonga', 'Marie-Christine Barrault', 'Noé Chabbat', 'Zoé Diowo-Ceccaldi']","Kev Adams,Jean Reno,Daniel Prévost","Claude Zidi Jr.,Kev Adams,Elodie Hesme",526067,france,14/02/2024,apollo films,maison de retraite 2,pas de titre original,Europe
une vie,"['Biographique', 'Drame', 'Historique']","['Anglais', 'Allemand', 'Tchèque', 'Français']",Royaume-Uni,PG,109,2023,James Hawes,James Hawes,"['James Hawes', 'Lucinda Coxon', 'Nick Drake']","['Anthony Hopkins', 'Lena Olin', 'Johnny Flynn', 'Helena Bonham Carter', 'Tim Steed', 'Matilda Thorpe', 'Daniel Brown', 'Alex Sharp', 'Jirí Simek', 'Romola Garai', 'Barbora Váchová', 'Juliana Moska', 'Jolana Jirotková', 'Michal Skach', 'Samuel Himal', 'Matej Karas', 'Ella Novakova', 'Martin Bednár']","Anthony Hopkins,Johnny Flynn,Helena Bonham Carter","James Hawes,Lucinda Coxon,Nick Drake",456390,grande-bretagne,21/02/2024,snd,une vie,one life,Europe
kung fu panda 4,"['Animation', 'Action', 'Aventure']","['Mandarin', 'Chinois', 'Anglais']",États-Unis,Tous publics,94,2024,Mike Mitchell,Mike Mitchell,"['Mike Mitchell', 'Stephanie Stine', 'Scénario']","['Jack Black', 'Awkwafina', 'Viola Davis', 'Dustin Hoffman', 'Bryan Cranston', 'James Hong', 'Ian McShane', 'Ke Huy Quan', 'Ronny Chieng', 'Lori Tan Chinn', 'Seth Rogen', 'Mr. Beast', 'James Murray', 'James Sie', 'Cedric Yarbrough', 'Vic Chao', 'Audrey Brooke', 'Lincoln Nakamura']","Manu Payet,Jack Black, Awkwafina","Mike Mitchell (V),Stephanie Stine,Jonathan Aibel,Glenn Berger",825898,u.s.a.,27/03/2024,universal pictures international france,kung fu panda 4,pas de titre original,Amérique du Nord
scandaleusement vôtre,"['Comédie', 'Policier', 'Drame']",['Anglais'],Royaume-Uni,R,100,2023,Thea Sharrock,Thea Sharrock,"['Thea Sharrock', 'Jonny Sweet', 'Casting principal']","['Jessie Buckley', 'Olivia Colman', 'Alisha Weir', 'Timothy Spall', 'Hugh Skinner', 'Jason Watkins', 'Joanna Scanlan', 'Gemma Jones', 'Lolly Adefope', 'Eileen Atkins', 'Anjana Vasan', 'Richard Goulding', 'Tim Key', 'Malachi Kirby', 'Paul Chahidi', 'Jamie Chapman', 'Susie Fairfax', 'Grant Crookes']","Olivia Colman,Jessie Buckley,Anjana Vasan","Thea Sharrock,Jonny Sweet",51921,grande-bretagne,13/03/2024,studiocanal,scandaleusement vôtre,wicked little letters,Europe
dune : deuxième partie,"['Action', 'Aventure', 'Drame']",['Anglais'],États-Unis,Tous publics avec avertissement,166,2024,Denis Villeneuve,Denis Villeneuve,"['Denis Villeneuve', 'Denis Villeneuve', 'Jon Spaihts']","['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'Léa Seydoux', 'Stellan Skarsgård', 'Charlotte Rampling', 'Souheila Yacoub', 'Roger Yuan', 'Babs Olusanmokun', 'Alison Halstead', 'Giusi Merli', 'Kait Tenison']","Timothée Chalamet, Zendaya,Rebecca Ferguson","Denis Villeneuve,Denis Villeneuve,Jon Spaihts",1383999,u.s.a.,28/02/2024,warner bros. france,dune : deuxième partie,dune: part two,Amérique du Nord
dans la peau de blanche houellebecq,['Comédie'],['Français'],France,Tous publics,88,2024,Guillaume Nicloux,Guillaume Nicloux,"['Guillaume Nicloux', 'Guillaume Nicloux', 'Casting principal']","['Vincent Volkoff', 'Françoise Lebrun', 'Jean-Pascal Zadi', 'Gaspar Noé', 'Ronald Pierre', 'Jean-Louis Gautier', 'Apollinaire Godard', 'Francky Briny', 'Didier Daijardin', 'Jacqueline Baltus', 'Elise Cresson', 'Yann Ichon Bella Ola', 'Céline Loco', 'Nathaly Coualy', 'Rio Marie-Magdelaine', 'Lidgy Jules-Gaston', 'Rebecca Bering', 'Franky Vincent']","Blanche Gardin,Michel Houellebecq,Luc Schwarz","Guillaume Nicloux,Guillaume Nicloux",12482,france,13/03/2024,bac films,dans la peau de blanche houellebecq,pas de titre original,Europe
pauvres créatures,"['Comédie', 'Drame', 'Romantique']","['Anglais', 'Français', 'Portugais']",Irlande,Tous publics avec avertissement,141,2023,Yorgos Lanthimos,Yorgos Lanthimos,"['Yorgos Lanthimos', 'Tony McNamara', 'Alasdair Gray']","['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe', 'Ramy Youssef', 'Vicki Pepperdine', 'Jack Barton', 'Charlie Hiscock', 'Attila Dobai', 'Emma Hindle', 'Anders Olof Grundberg', 'Attila Kecskeméthy', 'Jucimar Barbosa', 'Carminho', 'Angela Paula Stander', 'Gustavo Gomes', 'Kate Handford', 'Owen Good', 'Zen Joshua Poisson']","Emma Stone,Mark Ruffalo,Willem Dafoe","Yorgos Lanthimos,Tony McNamara",186568,irlande,17/01/2024,the walt disney company france,pauvres créatures,poor things,Europe
immaculée,['Horreur'],"['Italien', 'Anglais']",Italie,,89,2024,Michael Mohan,Michael Mohan,"['Michael Mohan', 'Andrew Lobel', 'Casting principal']","['Sydney Sweeney', 'Álvaro Morte', 'Simona Tabasco', 'Benedetta Porcaroli', 'Giorgio Colangeli', 'Dora Romano', 'Giulia Heathfield Di Renzi', 'Giampiero Judica', 'Betty Pedrazzi', 'Giuseppe Lo Piccolo', 'Cristina Chinaglia', 'Niccolò Senni', 'Isabel Desantis', 'Viviane Florentine Nicolai', 'Marisa Regina', 'Laura Camassa', 'Cinzia Fantauzzi', 'Tiziano Ferracci']","Sydney Sweeney,Álvaro Morte,Simona Tabasco","Michael Mohan,Andrew Lobel",129796,u.s.a.,20/03/2024,metropolitan filmexport,immaculée,immaculate,Europe
sans jamais nous connaître,"['Drame', 'Fantastique', 'Romantique']",['Anglais'],Royaume-Uni,Tous publics,105,2023,Andrew Haigh,Andrew Haigh,"['Andrew Haigh', 'Andrew Haigh', 'Taichi Yamada']","['Andrew Scott', 'Paul Mescal', 'Carter John Grout', 'Jamie Bell', 'Claire Foy', 'Ami Tredrea', 'Cameron Ashplant', 'Lincoln R. Beckett', 'Jack Cronin', 'Christian Di Sciullo', 'Oliver Franks', 'Hussein Kutsi', 'Gsus Lopez', 'Jack Pallister', 'Guy Robbins', 'Darren Ryames', 'Zachary Timmis', 'Sean Tizzard']","Andrew Scott,Paul Mescal,Jamie Bell","Andrew Haigh,Andrew Haigh",74540,grande-bretagne,14/02/2024,the walt disney company france,sans jamais nous connaître,all of us strangers,Europe
comme un fils,['Drame'],['Français'],France,Tous publics,102,2023,Nicolas Boukhrief,Nicolas Boukhrief,"['Nicolas Boukhrief', 'Éric Besnard', 'Nicolas Boukhrief']","['Vincent Lindon', 'Stefan Virgil Stoica', 'Karole Rocher', 'Sorin Mihai', 'Robert Opasche', ""Florin 'Beti' Opasche"", 'Jean-Charles Canu', 'Florent Cheippe', 'Myriam Djeljeli', 'Gina Jimenez', 'Nina Boukhrief', 'Guillaume Draux', 'Saïd Aïssaoui', 'Pascal Vannson', 'Kamel Abdelli', 'Sandie Masson', 'Emmanuel Rausenberger', 'Jacky Latulipe']","Vincent Lindon,Karole Rocher,Stefan Virgil Stoica","Nicolas Boukhrief,Nicolas Boukhrief,Eric Besnard",55026,france,06/03/2024,le pacte,comme un fils,pas de titre original,Europe
bis repetita,['Comédie'],"['Français', 'Latin', 'Anglais', 'Italien']",France,Tous publics,86,2024,Émilie Noblet,Émilie Noblet,"['Émilie Noblet', 'Clémence Dargent', 'Émilie Noblet']","['Louise Bourgoin', 'Xavier Lacaille', 'Francesco Montanari', 'Noémie Lvovsky', 'Rosie Boccardi', 'Elias Donada', 'Gabrielle Garcia', 'Stylane Lecaille', 'Issa Perica', 'Antoinette Aaron', 'Léo Panetta', 'Margherita Mei', 'Emmanuel Buffet', 'Marion Lahmer', ""Nathalie N'Songan"", 'Guillaume Pottier', 'Satya Dusaugey', 'Sarah Viennot']","Louise Bourgoin,Xavier Lacaille,Francesco Montanari","Émilie Noblet,Émilie Noblet,Clémence Dargent",54009,france,20/03/2024,le pacte,bis repetita,pas de titre original,Europe
tombés du camion,['Comédie'],['Français'],France,,89,2024,Philippe Pollet-Villard,Philippe Pollet-Villard,"['Philippe Pollet-Villard', 'Scénario', 'Allan Mauduit']","['Patrick Timsit', 'Valérie Bonneton', 'Saaden Sada Balius', 'Sébastien Chassagne', 'Jules Garreau', 'Karim Barras', 'Mélanie Doutey', 'Samir Guesmi', 'Serge Riaboukine', 'François Neycken', 'Jean-Benoît Ugeux', 'Alain Bellot', 'Cerise Péroua', 'Elisabeth Tissot-Guerraz', 'Éric Leblanc', 'Livio Azzarello', 'Pierre Azzarello', 'Sohel Harbouche']","Patrick Timsit,Valérie Bonneton,Saaden Sada Balius","Philippe Pollet-Villard,Philippe Pollet-Villard,Allan Mauduit",78789,france,28/02/2024,zinc film,tombés du camion,pas de titre original,Europe
oppenheimer,"['Biographique', 'Drame', 'Historique']","['Anglais', 'Allemand', 'Italien']",États-Unis,Tous publics,180,2023,Christopher Nolan,Christopher Nolan,"['Christopher Nolan', 'Christopher Nolan', 'Kai Bird']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Alden Ehrenreich', 'Scott Grimes', 'Jason Clarke', 'Kurt Koehler', 'Tony Goldwyn', 'John Gowans', 'Macon Blair', ""James D'Arcy"", 'Kenneth Branagh', 'Harry Groener', 'Gregory Jbara', 'Ted King', 'Tim DeKay', 'Steven Houska']","Cillian Murphy,Emily Blunt,Matt Damon","Christopher Nolan,Christopher Nolan",1138907,u.s.a.,19/07/2023,universal pictures international france,oppenheimer,pas de titre original,Amérique du Nord
la promesse verte,['Drame'],"['Français', 'Indonésien', 'Anglais']",France,,120,2024,Édouard Bergeon,Édouard Bergeon,"['Édouard Bergeon', 'Scénario', 'Cécile Allegra']","['Alexandra Lamy', 'Félix Moati', 'Sofian Khammes', 'Julie Chen', 'Antoine Bertrand', 'David Chin', 'Adam Fitzgerald', 'Philippe Torreton', 'Charlie Costillas', 'Olivier Ythier', ""Fatou N'Diaye"", 'Emmanuel Courcol', 'Christophe Rossignon', 'Stéphane Pezerat', 'Karim Rissouli', 'Louise Rossignon', ""Thomas Jeand'Heur"", 'Best Tangwongsiri']","Alexandra Lamy,Félix Moati,Sofian Khammes","Edouard Bergeon,Edouard Bergeon,Emmanuel Courcol",176281,france,27/03/2024,diaphana distribution,la promesse verte,pas de titre original,Europe
cocorico,['Comédie'],"['Français', 'Allemand', 'Portugais', 'Anglais']",France,,92,2024,Julien Hervé,Julien Hervé,"['Julien Hervé', 'Julien Hervé', 'Casting principal']","['Christian Clavier', 'Didier Bourdon', 'Sylvie Testud', 'Marianne Denicourt', 'Julien Pestel', 'Chloé Coulloud', 'Sophie Froissard', 'Johann Dionnet', 'Patrick Préjean', 'Loïc Rojouan', 'Charline Paul', 'Philippe Vieux', 'Damien Bellard', 'Laurent Joly', 'Laura Müller', 'Sébastien Boissavit']","Christian Clavier,Marianne Denicourt,Didier Bourdon","Julien Hervé,Julien Hervé",584706,france,07/02/2024,snd,cocorico,pas de titre original,Europe
le dernier jaguar,"['Aventure', 'Comédie', 'Famille']",['Anglais'],France,Tous publics,100,2024,Gilles de Maistre,Gilles de Maistre,"['Gilles de Maistre', 'Prune de Maistre', 'Casting principal']","['Emily Bett Rickards', 'Lumi Pollack', 'Wayne Charles Baker', 'Paul Greene', 'Kelly Hope Taylor', 'Lucrezia Pini', 'Airam Camacho', 'Eva Avila', 'Letitia Brookes', 'K.C. Coombs', 'Amanda Ip', 'Mégane Proulx', 'Charlie Vachon']","Lumi Pollack,Emily Bett Rickards,Wayne Charles Baker","Gilles de Maistre,Gilles de Maistre,Prune de Maistre",222380,france,07/02/2024,studiocanal,le dernier jaguar,pas de titre original,Europe
black tea,"['Drame', 'Romantique']","['Mandarin', 'Anglais', 'Français', 'Portugais']",France,,110,2024,Abderrahmane Sissako,Abderrahmane Sissako,"['Abderrahmane Sissako', 'Abderrahmane Sissako', 'Kessen Tall']","['Nina Melo', 'Han Chang', 'Ke-Xi Wu', 'Michael Chang', 'Pei-Jen Yu', 'Wei Huang', 'Emery Gahuranyi', 'Isabelle Kabano', 'Odo Marie', 'Franck Pycardhy', 'Cheikh Ahmed Kenkou']","Nina Melo,Han Chang,Wu Ke-Xi","Abderrahmane Sissako,Abderrahmane Sissako,Kessen Tall",36556,france,28/02/2024,gaumont distribution,black tea,pas de titre original,Europe
les carnets de siegfried,"['Biographique', 'Drame', 'Historique']","['Anglais', 'Français', 'Allemand']",Royaume-Uni,Not Rated,137,2021,Terence Davies,Terence Davies,"['Terence Davies', 'Terence Davies', 'Casting principal']","['Jack Lowden', 'Thom Ashley', 'Orlando Jopling', 'Christopher Naylor', 'Geraldine James', 'Simon Russell Beale', 'Peter Capaldi', 'Richard Goulding', 'Jude Akuwudike', 'Daniel Tuite', 'Mark Oosterveen', 'Steven Pacey', 'Julian Sands', 'Joyce Henderson', 'Ben Daniels', 'Matthew Tennyson', 'Torquil Munro', 'Chrissy Roberts']","Jack Lowden,Simon Russell Beale,Thom Ashley","Terence Davies,Terence Davies",9584,grande-bretagne,06/03/2024,condor distribution,les carnets de siegfried,benediction,Europe
pas de vagues,['Drame'],['Français'],France,,91,2024,Teddy Lussi-Modeste,Teddy Lussi-Modeste,"['Teddy Lussi-Modeste', 'Audrey Diwan', 'Teddy Lussi-Modeste']","['François Civil', 'Shaïn Boumedine', 'Toscane Duquesne', 'Mallory Wanecque', 'Bakary Kebe', 'Emma Boumali', 'Marianne Ehouman', 'Luna Ho Poumey', 'Mohamed Fadiga', 'Atik Jawed', 'Estevan Marchenoir', 'Agnès Hurstel', 'Myriam Djeljeli', 'Emilie Incerti-Formentini', 'Mustapha Abourachid', 'Armindo Alves de Sa', 'Francis Leplay', 'Fadily Camara']","François Civil,Shaïn Boumedine,Bakary Kebe","Teddy Lussi-Modeste,Teddy Lussi-Modeste,Audrey Diwan",170817,france,27/03/2024,ad vitam,pas de vagues,pas de titre original,Europe
madame web,"['Action', 'Aventure', 'Science-fiction']",['Anglais'],États-Unis,Tous publics,116,2024,S.J. Clarkson,S.J. Clarkson,"['S.J. Clarkson', 'Scénario', 'Matt Sazama']","['Dakota Johnson', 'Sydney Sweeney', 'Isabela Merced', ""Celeste O'Connor"", 'Tahar Rahim', 'Mike Epps', 'Emma Roberts', 'Adam Scott', 'Kerry Bishé', 'Zosia Mamet', 'José María Yazpik', 'Kathy-Ann Hart', 'Josh Drennen', 'Yuma Feldman', 'Miranda Adekoje', 'Deirdre McCourt', 'Naheem Garcia', 'Jill Hennessy']","Dakota Johnson,Sydney Sweeney,Isabela Merced","S.J. Clarkson,Matt Sazama,Burk Sharpless",207894,u.s.a.,14/02/2024,sony pictures releasing france,madame web,pas de titre original,Amérique du Nord
chien de la casse,"['Comédie', 'Drame']",['Français'],France,Tous publics,93,2023,Jean-Baptiste Durand,Jean-Baptiste Durand,"['Jean-Baptiste Durand', 'Jean-Baptiste Durand', 'Nicolas Fleureau']","['Anthony Bajon', 'Raphaël Quenard', 'Galatéa Bellugi', 'Dominique Reymond', 'Bernard Blancan', 'Nathan Le Graciet', 'Mélanie Martinez', 'Mike Reilles', 'Mathieu Amilien', 'Evelina Pitti', 'Kader Bouallaga', 'Marysole Fertard', 'Thibaut Bayard', 'Maia Dennehy', 'Tommy-Lee Baïk', 'Fayssal Djedoui', 'Antoine Rodriguez', 'Viktor Gkoritsas']","Anthony Bajon,Raphaël Quenard,Galatea Bellugi","Jean-Baptiste Durand,Jean-Baptiste Durand",20877,france,19/04/2023,bac films,chien de la casse,pas de titre original,Europe
vampire humaniste cherche suicidaire consentant,"['Comédie', 'Drame', 'Fantastique']",['Français'],Canada,,90,2023,Ariane Louis-Seize,Ariane Louis-Seize,"['Ariane Louis-Seize', 'Christine Doyon', 'Ariane Louis-Seize']","['Sara Montpetit', 'Félix-Antoine Bénard', 'Steve Laplante', 'Sophie Cadieux', ""Noémie O'Farrell"", 'Lilas-Rose Cantin', 'Arnaud Vachon', 'Marie Brassard', 'Madeleine Péloquin', 'Gabriel-Antoine Roy', 'Isabella Villalba', 'Patrick Hivon', 'Marc Beaupré', 'Micheline Bernard', 'Sylvie Lemay', 'Ariane Castellanos', 'Wiam Mokhtari', 'Zoé Nagy']","Sara Montpetit,Félix-Antoine Bénard,Steve Laplante","Ariane Louis-Seize,Ariane Louis-Seize,Christine Doyon",7945,canada,20/03/2024,wayna pitch,vampire humaniste cherche suicidaire consentant,pas de titre original,Amérique du Nord
les choses humaines,['Drame'],['Français'],France,Tous publics,138,2021,Yvan Attal,Yvan Attal,"['Yvan Attal', 'Karine Tuil', 'Yaël Langmann']","['Ben Attal', 'Suzanne Jouannet', 'Charlotte Gainsbourg', 'Mathieu Kassovitz', 'Pierre Arditi', 'Audrey Dana', 'Benjamin Lavernhe', 'Judith Chemla', 'Réjane Kerdaffrec', 'Gérard Watkins', 'Franz Lang', 'Camille Razat', 'Anne Bouvier', 'Sarah Chaumette', 'Marcel Gitard', 'Emmanuelle Lepoutre', 'Laëtitia Eïdo', 'Julie Fournier']","Charlotte Gainsbourg,Mathieu Kassovitz,Pierre Arditi","Yvan Attal,Yaël Langmann,Yvan Attal",89353,france,01/12/2021,gaumont distribution,les choses humaines,pas de titre original,Europe
le royaume des abysses,"['Animation', 'Aventure', 'Drame']",['Mandarin'],Chine,Tous publics avec avertissement,112,2023,Xiaopeng Tian,Xiaopeng Tian,"['Xiaopeng Tian', 'Fabiola Stevenson', 'Xiaopeng Tian']","['Tingwen Wang', 'Su Xin', 'Kuixing Teng', 'Yang Ting', 'Jing Ji', 'Haoran Guo', 'Xiaopeng Tian', 'Yi Dong', 'Taochen Fang', 'Brian Flaccus', 'Angela Malhotra', 'Eduardo De Los Reyes']","Aaricia Dubois,Wang Tingwen,Su Xin","Tian Xiaopeng,Tian Xiaopeng",79728,chine,21/02/2024,kmbo,le royaume des abysses,shen hai,Asie
imaginary,"['Horreur', 'Mystère', 'Thriller']",['Anglais'],États-Unis,,104,2024,Jeff Wadlow,Jeff Wadlow,"['Jeff Wadlow', 'Jeff Wadlow', 'Greg Erb']","['DeWanda Wise', 'Taegen Burns', 'Pyper Braun', 'Betty Buckley', 'Tom Payne', 'Veronica Falcón', 'Samuel Salary', 'Matthew Sato', 'Alix Angelis', 'Wanetah Walmsley', 'Rhythm Hurd', 'Shawn Sanz', 'Lawrence Weber Jr.', 'Noah Martinez', 'Lilly Sunshine', 'Cecilia Leal', 'Eduardo Campirano', 'Michael Bekemeier']","DeWanda Wise,Tom Payne (II),Taegen Burns","Jeff Wadlow,Jeff Wadlow,Greg Erb",89440,u.s.a.,06/03/2024,metropolitan filmexport,imaginary,pas de titre original,Amérique du Nord
