iter	RMSE
245	147759.7258
246	147378.0224
247	147136.9767
248	146940.8071
249	146758.207
250	146624.6591
251	146517.4507
252	146387.2649
253	146287.2146
254	146031.3617
255	145891.5555
256	145603.9879
257	145459.1304
258	145319.6752
259	145160.1118
260	144989.4778
261	144699.5089
262	144542.5808
263	144343.2799
264	144243.0131
265	144140.2887
266	143924.0134
267	143820.0794
268	143610.879
269	143367.1299
270	143148.5374
271	142962.8667
272	142630.6021
273	142489.5548
274	142378.1917
275	142183.565
276	142077.3367
277	141987.0189
278	141884.3053
279	141748.5041
280	141647.9824
281	141563.3392
282	141482.3973
283	141402.3824
284	141124.1987
285	141045.4632
286	140946.3682
287	140928.6597
288	140669.7203
289	140452.306
290	140336.7126
291	140157.5762
292	140090.9062
293	139896.3802
294	139836.6672
295	139759.2715
296	139680.9097
297	139551.9353
298	139390.916
299	139300.7846
300	139169.4828
301	138944.6004
302	138783.6628
303	138526.9963
304	138431.0741
305	138294.1705
306	138075.1348
307	138057.2929
308	138009.4885
309	137876.6294
310	137752.5772
311	137708.2855
312	137529.0478
313	137356.3758
314	137220.5263
315	137110.1451
316	136990.1741
317	136949.2201
318	136729.8027
319	136638.4904
320	136372.7519
321	136175.4449
322	136032.2782
323	135945.6959
324	135882.2038
325	135648.941
326	135433.5819
327	135276.1014
328	135116.3778
329	134884.1047
330	134827.9602
331	134682.1201
332	134649.0204
333	134567.9737
334	134453.0042
335	134357.5558
336	134153.6585
337	133990.0147
338	133860.5563
339	133811.8643
340	133625.5646
341	133578.0253
342	133488.1437
343	133360.8555
344	133195.4858
345	133122.989
346	132952.8526
347	132672.7752
348	132603.2067
349	132522.025
350	132387.7298
351	132142.4356
352	132004.0678
353	131959.5798
354	131848.9978
355	131703.5723
356	131542.9915
357	131394.3107
358	131280.7413
359	131214.6817
360	131067.1486
361	130940.9401
362	130829.5495
363	130624.9451
364	130492.7281
365	130350.8093
366	130310.779
367	130190.0853
368	130126.9294
369	130002.9662
370	129874.6645
371	129781.4677
372	129641.5306
373	129486.3027
374	129263.4814
375	129186.4026
376	129158.0322
377	129075.5401
378	128832.6978
379	128649.4757
380	128521.7197
381	128387.2505
382	128342.2107
383	128311.7289
384	128122.1141
385	128080.8224
386	128040.5977
387	127897.6133
388	127761.7856
389	127653.9583
390	127529.1879
391	127459.1147
392	127420.6798
393	127312.0132
394	127245.7777
395	127102.9872
396	126992.365
397	126853.4942
398	126748.6736
399	126723.3882
400	126622.4886
401	126559.1964
402	126518.6544
403	126358.8497
404	126206.4439
405	126168.9676
406	126082.3749
407	125961.1486
408	125796.0421
409	125701.9773
410	125642.8301
411	125608.0327
412	125500.9453
413	125401.0089
414	125295.3138
415	125224.9601
416	125189.1961
417	125056.0073
418	124938.4224
419	124831.2692
420	124760.0723
421	124553.9092
422	124439.3427
423	124384.0308
424	124331.2924
425	124218.6693
426	124048.5189
427	123935.8304
428	123796.5229
429	123701.0273
430	123594.321
431	123494.1329
432	123420.0298
433	123294.6364
434	123202.1182
435	123064.1448
436	122937.1448
437	122812.7
438	122725.9973
439	122549.2162
440	122521.9983
441	122434.1908
442	122400.7984
443	122212.669
444	122049.297
445	121963.4601
446	121862.5319
447	121752.8063
448	121732.9767
449	121694.3021
450	121642.4932
451	121555.0219
452	121446.3933
453	121399.2593
454	121340.1573
455	121215.4511
456	121159.0695
457	121051.3128
458	120947.1655
459	120820.8176
460	120763.0957
461	120656.3892
462	120547.2698
463	120458.1225
464	120344.5358
465	120261.9742
466	120142.1991
467	120043.7082
468	120037.1218
469	119949.1437
470	119855.9066
471	119738.2886
472	119712.6595
473	119602.3896
474	119501.2266
475	119427.529
476	119347.8172
477	119254.6354
478	119177.5409
479	119005.25
480	118963.0158
481	118804.9546
482	118743.3744
483	118637.5708
484	118557.9389
485	118546.525
486	118447.0669
487	118380.7429
488	118181.3574
489	118124.0221
490	117966.6825
491	117768.2083
492	117595.6497
493	117513.7363
494	117423.6907
495	117355.8141
496	117345.0658
497	117156.7338
498	117058.344
499	117048.0141
500	117042.64
501	117001.4764
502	116831.1732
503	116748.9275
504	116695.7026
505	116581.3694
506	116438.2133
507	116293.9311
508	116024.7627
509	115945.5774
510	115900.8688
511	115742.1563
512	115677.5649
513	115593.1081
514	115493.5248
515	115429.156
516	115368.0543
517	115291.4044
518	115230.209
519	115160.7989
520	115030.1303
521	114928.6189
522	114845.6476
523	114842.3944
524	114746.5321
525	114681.2941
526	114646.4163
527	114559.465
528	114455.7889
529	114369.5311
530	114360.6057
531	114258.3397
532	114183.2603
533	114091.5415
534	114050.7587
535	114024.8421
536	113972.7711
537	113876.3826
538	113768.1338
539	113707.1587
540	113563.7376
541	113426.3586
542	113354.1112
543	113283.9247
544	113115.3273
545	113041.5803
546	112966.1712
547	112869.0674
548	112830.7022
549	112583.364
550	112486.3018
551	112468.9067
552	112297.1548
553	112217.2193
554	112188.3001
555	112080.037
556	112026.3779
557	111906.5334
558	111839.4574
559	111742.8347
560	111622.6412
561	111584.3217
562	111548.7529
563	111501.4407
564	111406.2565
565	111278.939
566	111184.5063
567	111068.9222
568	110963.4141
569	110875.6906
570	110782.0913
571	110694.4137
572	110631.4286
573	110507.8677
574	110428.3945
575	110316.1411
576	110286.4984
577	110203.3229
578	110088.79
579	109976.4478
580	109890.594
581	109832.6839
582	109732.2531
583	109654.774
584	109629.7766
585	109572.8775
586	109463.7149
587	109348.4285
588	109141.7441
589	109044.868
590	108961.3731
591	108874.4215
592	108718.4505
593	108644.484
594	108582.1156
595	108535.8213
596	108471.7848
597	108347.7584
598	108182.1077
599	108059.4707
600	107991.4714
601	107827.4233
602	107758.8621
603	107750.1214
604	107693.9843
605	107691.1434
606	107642.7686
607	107596.276
608	107501.4585
609	107403.3846
610	107317.9725
611	107211.5468
612	107156.0524
613	107123.0597
614	107079.8791
615	107029.7758
616	106964.7656
617	106880.0323
618	106776.1197
619	106691.0587
620	106595.4766
621	106548.1881
622	106480.2611
623	106355.8693
624	106293.6535
625	106233.2814
626	106182.6695
627	106126.4878
628	106051.6181
629	105981.5991
630	105913.9606
631	105846.936
632	105779.2244
633	105706.848
634	105648.8239
635	105551.1818
636	105481.7524
637	105411.358
638	105345.5163
639	105246.0443
640	105189.5004
641	105091.5136
642	105026.1215
643	104935.1273
644	104866.0147
645	104753.0533
646	104673.8657
647	104607.9264
648	104571.1152
649	104502.0569
650	104451.9058
651	104376.3075
652	104321.4145
653	104299.5688
654	104251.5329
655	104163.0313
656	104057.0434
657	103931.3218
658	103865.3958
659	103804.2611
660	103729.1249
661	103683.2472
662	103561.0655
663	103536.4983
664	103494.3205
665	103447.9785
666	103377.1876
667	103339.0555
668	103274.0627
669	103248.6313
670	103055.2325
671	102935.9434
672	102914.4406
673	102862.0371
674	102849.9195
675	102732.6667
676	102708.6001
677	102654.2063
678	102648.5912
679	102624.0953
680	102565.4105
681	102526.4175
682	102490.3229
683	102420.5936
684	102330.1543
685	102218.452
686	102134.4961
687	102005.2595
688	101954.7423
689	101904.5464
690	101829.474
691	101790.7992
692	101695.3597
693	101656.4323
694	101585.7892
695	101468.2028
696	101422.2194
697	101254.8168
698	101164.4435
699	101026.9252
700	100991.6234
701	100969.1168
702	100943.3496
703	100923.4543
704	100881.4945
705	100829.9241
706	100805.084
707	100756.2275
708	100682.7625
709	100635.0284
710	100614.5625
711	100509.9955
712	100403.5111
713	100357.165
714	100241.671
715	100199.9472
716	100093.5623
717	100054.3237
718	99981.09487
719	99961.33951
720	99932.11178
721	99847.11993
722	99819.94832
723	99678.1886
724	99660.22039
725	99588.10128
726	99508.68444
727	99472.71119
728	99403.44417
729	99319.95232
730	99243.1748
731	99153.59915
732	99100.69914
733	99037.27975
734	99011.3345
735	98987.37894
736	98923.9206
737	98893.05168
738	98842.16812
739	98795.84246
740	98703.22821
741	98632.05374
742	98517.63105
743	98486.88166
744	98438.70893
745	98376.73991
746	98340.54159
747	98303.43623
748	98264.68081
749	98217.458
750	98174.08906
751	98085.99243
752	98029.65212
753	97899.23907
754	97813.15062
755	97722.85773
756	97660.67157
757	97608.7378
758	97565.85156
759	97488.6395
760	97451.18631
761	97387.30471
762	97336.02315
763	97285.48086
764	97210.19544
765	97125.5127
766	97122.00604
767	97093.94044
768	96999.56049
769	96964.99506
770	96894.27857
771	96823.90144
772	96766.22935
773	96716.62968
774	96583.3528
775	96497.05406
776	96457.88327
777	96427.55282
778	96389.63803
779	96348.87547
780	96282.04381
781	96238.65449
782	96143.64876
783	96043.88592
784	95984.14239
785	95931.81858
786	95882.27741
787	95852.13141
788	95822.80444
789	95785.46972
790	95717.17338
791	95688.60795
792	95624.89075
793	95605.51584
794	95496.59
795	95454.72469
796	95384.9551
797	95332.09683
798	95243.23526
799	95180.47365
800	95094.10742
801	95005.62683
802	94939.94994
803	94869.21098
804	94839.84869
805	94818.57925
806	94742.88647
807	94715.76118
808	94606.26977
809	94549.26994
810	94493.03925
811	94475.61205
812	94419.32142
813	94349.29491
814	94334.52935
815	94253.26512
816	94210.6143
817	94209.10687
818	94140.34036
819	94092.38756
820	94062.94059
821	93999.4254
822	93900.83833
823	93874.4838
824	93759.96023
825	93744.94499
826	93693.00279
827	93665.93582
828	93664.54313
829	93635.05379
830	93564.40023
831	93491.79287
832	93429.02256
833	93324.817
834	93290.38678
835	93287.60193
836	93235.96651
837	93181.32972
838	93108.84708
839	93058.25964
840	92986.01224
841	92947.52968
842	92888.10368
843	92859.76937
844	92849.31935
845	92743.18706
846	92680.82328
847	92644.84347
848	92597.97091
849	92503.12828
850	92472.56919
851	92452.41706
852	92371.54506
853	92338.49122
854	92266.54542
855	92230.63407
856	92208.93319
857	92160.90866
858	92059.85837
859	92032.80042
860	91936.62615
861	91914.52098
862	91913.85841
863	91895.39095
864	91835.64619
865	91788.03181
866	91767.31556
867	91698.66623
868	91661.30034
869	91618.22383
870	91583.56201
871	91548.03818
872	91500.1278
873	91444.52442
874	91385.53443
875	91328.84078
876	91301.92854
877	91243.51717
878	91171.84395
879	91133.49306
880	91072.60328
881	90981.17114
882	90948.59205
883	90901.92348
884	90869.59262
885	90849.20561
886	90811.47924
887	90780.78103
888	90756.57906
889	90677.4411
890	90609.01993
891	90562.33388
892	90519.35544
893	90459.03106
894	90455.74425
895	90433.98357
896	90419.12434
897	90416.80442
898	90376.76319
899	90316.29338
900	90282.11759
901	90256.76801
902	90226.46722
903	90173.21579
904	90138.32825
905	90099.4762
906	90067.5622
907	90024.83308
908	89982.64738
909	89941.77364
910	89892.27572
911	89888.2754
912	89842.70014
913	89796.74374
914	89775.23765
915	89712.58092
916	89676.29623
917	89591.86899
918	89572.0392
919	89494.59471
920	89435.94435
921	89398.50627
922	89348.42583
923	89317.86481
924	89281.70966
925	89180.67337
926	89141.52308
927	89138.60689
928	89092.93366
929	89027.67345
930	88969.32527
931	88940.71015
932	88911.25706
933	88880.4901
934	88866.72975
935	88829.35254
936	88793.44539
937	88754.05951
938	88710.90701
939	88678.42424
940	88625.0091
941	88582.26442
942	88557.28689
943	88528.60108
944	88488.69081
945	88447.29993
946	88431.06054
947	88400.5416
948	88399.65025
949	88398.77075
950	88356.98643
951	88351.18543
952	88316.9082
953	88267.35143
954	88230.70412
955	88217.54514
956	88179.85425
957	88153.0142
958	88117.23794
959	88069.29288
960	88048.06126
961	88001.87214
962	87965.635
963	87889.31
964	87840.38995
965	87782.98407
966	87734.57123
967	87699.62123
968	87666.86999
969	87628.31724
970	87598.92042
971	87565.6113
972	87525.60376
973	87483.54291
974	87417.3505
975	87370.6098
976	87357.98878
977	87350.0667
978	87265.93664
979	87224.20808
980	87184.25798
981	87140.10627
982	87078.20078
983	87054.33658
984	86997.08955
985	86954.02751
986	86930.6291
987	86904.97175
988	86866.71989
989	86798.58155
990	86725.12061
991	86611.82635
992	86513.78586
993	86448.16763
994	86423.55225
995	86378.58769
996	86328.13107
997	86299.85011
998	86260.36401
999	86240.00626
