actors,budget,compositor,country,date,director,first_week_entries,franchise,genre,producer,remake,studio,title,url
"
                            Sam Worthington,
                            Sigourney Weaver",315 000 000 $,James Horner,Etats-Unis,  16/12/2009,"
                                    James Cameron",2 648 596,Franchise,Science Fiction,,,"
                20th Century Fox","
                            Avatar",https://www.jpbox-office.com/fichfilm.php?id=9975&view=2
"
                            Jean Reno,
                            Christian Clavier",23 000 000 €,,France,  11/02/1998,"
                                    Jean-Marie Poiré",2 655 916,Franchise,Comédie,,,"
                GBVI","
                            Les Visiteurs II - Les Couloirs du temps",https://www.jpbox-office.com/fichfilm.php?id=3039&view=2
"
                            Dany Boon,
                            Benoît Poelvoorde,
                            François Damiens,
                            Oliver Gourmet,
                            Karin Viard,
                            Jérôme Commandeur",24 434 009 €,,France,  02/02/2011,"
                                    Dany Boon",2 587 056,,Comédie,,,"
                Pathé","
                            Rien à déclarer",https://www.jpbox-office.com/fichfilm.php?id=11191&view=2
"
                            Ian McKellen,
                            Cate Blanchett,
                            Orlando Bloom,
                            Luke Evans,
                            Benedict Cumberbatch",,Howard Shore,Etats-Unis,  10/12/2014,"
                                    Peter Jackson",1 789 196,Franchise,Fantasy,,,"
                Warner Bros.","
                            Le Hobbit : la Bataille des Cinq Armées",https://www.jpbox-office.com/fichfilm.php?id=12218&view=2
"
                            Steve Carell,
                            Gad Elmaleh,
                            Kristen Wiig",,,Etats-Unis,  05/07/2017,,1 756 100,Franchise,Animation,,,"
                Universal","
                            Moi, Moche et Méchant 3",https://www.jpbox-office.com/fichfilm.php?id=15290&view=2
"
                            Steve Carell,
                            Gad Elmaleh,
                            Kristen Wiig",75 000 000 $,,Etats-Unis,  05/07/2017,,1 756 100,Franchise,Animation,,,"
                Universal","
                            Moi, Moche et Méchant 3",https://www.jpbox-office.com/fichfilm.php?id=15290&view=2
,160 000 000 $,,Etats-Unis,  13/06/2007,,1 751 471,Franchise,Animation,,,"
                Paramount","
                            Shrek Le Troisième",https://www.jpbox-office.com/fichfilm.php?id=116&view=2
,63 000 000 $,,Etats-Unis,  23/06/1999,"
                                     Wachowski (brothers)",1 778 279,Franchise,Science Fiction,,,"
                Warner Bros.","
                            Matrix",https://www.jpbox-office.com/fichfilm.php?id=2708&view=2
"
                            Ian McKellen,
                            Cate Blanchett,
                            Orlando Bloom,
                            Luke Evans,
                            Benedict Cumberbatch",250 000 000 $,Howard Shore,Etats-Unis,  10/12/2014,"
                                    Peter Jackson",1 789 196,Franchise,Fantasy,,,"
                Warner Bros.","
                            Le Hobbit : la Bataille des Cinq Armées",https://www.jpbox-office.com/fichfilm.php?id=12218&view=2
,200 000 000 $,,Etats-Unis,  14/12/2016,"
                                    Gareth Edwards",1 798 117,,Fantasy,,,"
                Walt Disney Pictures","
                            Rogue One: A Star Wars Story",https://www.jpbox-office.com/fichfilm.php?id=15602&view=2
,200 000 000 $,,Etats-Unis,  04/07/2018,"
                                    Brad Bird",1 840 492,Franchise,Animation,,,"
                Walt Disney Pictures","
                            Les Indestructibles 2",https://www.jpbox-office.com/fichfilm.php?id=17342&view=2
,200 000 000 $,,Etats-Unis,  04/07/2018,"
                                    Brad Bird",1 840 492,Franchise,Animation,John Lasseter,,"
                Walt Disney Pictures","
                            Les Indestructibles 2",https://www.jpbox-office.com/fichfilm.php?id=17342&view=2
