acteurs,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
,150000000,,  24/05/2006,0,1548582.0,Franchise,Comicbook,etats-unis,,brett ratner,,,20th century fox,x-men l'affrontement final,https://www.jpbox-office.com/fichfilm.php?id=332&view=2
,20757242,,  14/02/2007,0,1573648.0,,Drame,france,,olivier dahan,,,tfm distribution,la môme,https://www.jpbox-office.com/fichfilm.php?id=26&view=2
,160000000,,  22/05/2013,0,1546806.0,Franchise,Aventure - Action,etats-unis,,justin lin,,,universal,fast & furious 6,https://www.jpbox-office.com/fichfilm.php?id=12716&view=2
,150000000,,  17/02/2016,0,1556396.0,,Animation,etats-unis,,none,,,walt disney pictures,zootopie,https://www.jpbox-office.com/fichfilm.php?id=15556&view=2
,301000000,,  06/10/2021,0,1384858.0,Franchise,Aventure - Action,etats-unis,,none,,,universal,mourir peut attendre,https://www.jpbox-office.com/fichfilm.php?id=18174&view=2
,170000000,,  06/06/2018,0,1396911.0,Franchise,Aventure - Action,etats-unis,,juan antonio bayona,,,universal,jurassic world: fallen kingdom,https://www.jpbox-office.com/fichfilm.php?id=17223&view=2
,40000000,,  19/04/2000,0,1395626.0,Franchise,Horreur,etats-unis,,wes craven,,,bac films,scream 3,https://www.jpbox-office.com/fichfilm.php?id=2409&view=2
,180000000,,  16/11/2016,0,1420401.0,Franchise,Fantasy,etats-unis,,david yates,,,warner bros.,les animaux fantastiques,https://www.jpbox-office.com/fichfilm.php?id=15601&view=2
,75000000,,  25/07/2007,0,1420883.0,,Animation,etats-unis,,none,,,20th century fox,les simpsons,https://www.jpbox-office.com/fichfilm.php?id=141&view=2
,76000000,,  26/06/2013,0,1418855.0,Franchise,Animation,etats-unis,,chris renaud,,,universal,"moi, moche et méchant 2",https://www.jpbox-office.com/fichfilm.php?id=12705&view=2
,135000000,,  24/02/2016,0,1409177.0,,Aventure - Action,etats-unis,,alejandro gonzález iñárritu,,,20th century fox,the revenant,https://www.jpbox-office.com/fichfilm.php?id=15065&view=2
,200000000,,  26/04/2017,0,1401339.0,Franchise,Comicbook,etats-unis,,james gunn,,,walt disney pictures,les gardiens de la galaxie 2,https://www.jpbox-office.com/fichfilm.php?id=14853&view=2
