title,timing
X - Le film,1h 45min
Le Clan,1h 32min
The Marvels,1h 45min
Un coup de dés,1h 25min
Linda veut du poulet !,1h 16min
Élémentaire,1h 42min
OSS 117: Alerte rouge en Afrique noire,1h 56min
Insubmersible,2h 01min
Astérix et Obélix : L'Empire du milieu,1h 52min
Les SEGPA au ski,1h 42min
Nome,1h 58min
Le Chat Potté 2 : la dernière quête,1h 42min
Le Dernier Voyage du Demeter,1h 58min
Spider-Man : Across The Spider-Verse,2h 21min
Sound of Freedom,2h 11min
Irréductible,1h 25min
Misanthrope,1h 59min
The Killer,1h 59min
10 jours sans maman,1h 38min
The Covenant,2h 03min
Smile,1h 55min
Un métier sérieux,1h 41min
The Whale,1h 57min
The King's Man : Première Mission,2h 11min
Les Eternels,2h 37min
Là où chantent les écrevisses,2h 05min
La Cour,1h 30min
Le Remède à l'oubli,2h 20min
Barbaque,1h 28min
Mes très chers enfants,1h 35min
Bullet Train,2h 07min
Reptile,2h 14min
Gueules noires,1h 43min
Five Nights At Freddy's,1h 50min
Priscilla,1h 53min
Dernière nuit à Milan,2h 11min
Mars Express,1h 25min
SISU - De l'Or et du Sang,1h 31min
Constance aux enfers,1h 30min
The Old Oak,1h 53min
Fermer les yeux,2h 49min
Nuit Noire en Anatolie,1h 54min
Amelia's Children,1h 32min
Avatar : la voie de l'eau,3h 12min
Sentinelle,1h 39min
Les bois assassins,1h 30min
En plein vol,1h 44min
Mission: Impossible – Dead Reckoning Partie 1,2h 43min
Tenet,2h 30min
De nos frères blessés,1h 35min
Panique chez les Wellmann,1h 29min
The Woman King,2h 15min
La Voie Royale,1h 47min
La Nonne : La Malédiction de Sainte Lucie,1h 49min
Indiana Jones et le Cadran de la Destinée,2h 34min
Voleuses,1h 54min
"Super Mario Bros, le film",1h 32min
Double foyer,1h 25min
L'affaire Marianne Voss,1h 30min
Shirley,1h 57min
Novembre,1h 47min
La Nuit du 12,1h 54min
Blue Summer (A Song Sung Blue),1h 32min
Coupez!,1h 52min
Organ Trail,1h 52min
The Batman,2h 57min
À mon tour,1h 30min
Diógenes,1h 20min
Une nuit,1h 30min
Surclassée,1h 44min
Fast & Furious X,2h 21min
Mon Crime,1h 43min
Les Gardiens de la Galaxie 3,2h 30min
Saw X,1h 58min
Sans filtre,2h 29min
The Forgiven,1h 57min
L'Hiver d'Edmond et Lucy,0h 45min
Bernadette,1h 32min
Top Gun: Maverick,2h 11min
Le Menu,1h 48min
La Chambre des merveilles,1h 39min
La Vie pour de vrai,1h 50min
En corps,1h 58min
Mascarade,2h 14min
Une robe pour Mrs. Harris,1h 56min
Aftersun,1h 42min
Trois Mille ans à t’attendre,1h 49min
Prise au jeu,1h 43min
Revoir Paris,1h 45min
Donjons & Dragons : L'Honneur des voleurs,2h 14min
Acide,1h 40min
Hawaii,1h 44min
